time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667,   2.55199,  80.29539, 323.27335,  -5.97676,  80.37657, 319.69335,   8.97956,  41.61209, 324.86247,  14.96874,   8.48130, 299.97116,  11.08074,  80.21420, 326.85334,  23.12530,  50.43817, 353.71248,  20.57615,   8.67892, 352.05019,   1.04730,  86.99573, 327.00998,  -1.00457, 102.46656, 334.49860,  -1.17646, 113.75829, 339.33477,   0.82446, 130.65894, 346.40008,   0.98056, 135.07674, 348.09681,   0.76630, 139.54421, 349.65115,  -2.50172, 126.02615, 343.86037, -14.20990, 128.57150, 338.30239, -23.51254, 111.59852, 320.20188, -32.67600,  94.24487, 303.14662, -33.74510,  91.59024, 304.21969, -34.96181,  88.18768, 304.92633, -35.02471,  85.63522, 305.09801, -35.22842,  91.41358, 303.33012, -38.23237,  87.38738, 301.60114, -39.02641,  84.01968, 300.53695, -38.80736,  82.06924, 299.93820, -35.11114,  91.90642, 302.20796, -37.97716,  88.24556, 299.91450, -38.39233,  84.86620, 297.91397, -37.24874,  82.86386, 297.01208, -34.96368,  92.35862, 301.46001, -37.44155,  89.47829, 298.76242, -37.70876,  86.82457, 296.58671, -36.67570,  84.96779, 295.49689, -34.60689,  92.97853, 300.63153, -36.70291,  90.72584, 297.65315, -36.91984,  88.91645, 295.58431, -36.04529,  87.67334, 294.73319,   2.93795, 125.04879, 344.65773,  15.55523, 121.70170, 346.67086,  12.67252, 100.86829, 362.79255,   9.41271,  82.82598, 381.22754,   7.13075,  83.40632, 383.17623,   4.47426,  83.52059, 385.72321,   2.35882,  82.91881, 387.03137,   7.93153,  83.28504, 384.71467,   6.56533,  81.98757, 389.68191,   4.64205,  80.43805, 392.32849,   3.28397,  79.24568, 393.30038,   8.82740,  82.44215, 384.66111,   7.97895,  80.72030, 389.47684,   6.36518,  78.21104, 392.06412,   4.79015,  76.32761, 392.38428,   9.50003,  81.88626, 384.50555,   9.33954,  79.88596, 388.71104,   8.34281,  77.38271, 390.85293,   7.01373,  75.43662, 391.23865,  10.27373,  81.21836, 384.11403,  10.62098,  78.99933, 387.76012,  10.23505,  76.81863, 389.40226,   9.34016,  75.33065, 389.54244
   0.03333,   2.04548,  80.29812, 324.89465,  -6.45488,  80.41457, 321.24872,   8.29798,  41.35077, 324.32597,  14.38898,   8.46345, 299.13827,  10.54584,  80.18167, 328.54058,  22.11375,  50.01762, 355.17534,  18.74317,   8.35751, 352.69118,   0.49448,  86.93598, 328.72275,  -1.59355, 102.34188, 336.33421,  -1.73705, 113.62139, 341.19974,   0.38256, 130.51146, 348.25574,   0.57669, 134.92707, 349.95424,   0.40800, 139.39388, 351.51609,  -2.96873, 125.91339, 345.68612, -14.52712, 128.71214, 339.93965, -24.31613, 112.47693, 321.42362, -34.04978,  95.62379, 304.18332, -35.25378,  93.01503, 305.22557, -36.63032,  89.66646, 305.89586, -36.80698,  87.11866, 306.05706, -36.72543,  92.90525, 304.30636, -39.86592,  89.01776, 302.50409, -40.78367,  85.69057, 301.41235, -40.63739,  83.73412, 300.81100, -36.56473,  93.39564, 303.18850, -39.54045,  89.86872, 300.82591, -40.06171,  86.51603, 298.80543, -38.98817,  84.46851, 297.91900, -36.38305,  93.84308, 302.44524, -38.92928,  91.08024, 299.68904, -39.26788,  88.44658, 297.49894, -38.29473,  86.54979, 296.42298, -35.98342,  94.44922, 301.62617, -38.11552,  92.29766, 298.59903, -38.36949,  90.50507, 296.51981, -37.53286,  89.22757, 295.68159,   2.44922, 124.87301, 346.54895,  15.00583, 121.41238, 348.74139,  11.42221, 101.02803, 365.29089,   7.29399,  83.59369, 384.13237,   4.91098,  84.22574, 385.93883,   2.12292,  84.40892, 388.33680,  -0.05805,  83.84051, 389.54873,   5.62918,  84.15365, 387.52052,   4.00327,  83.00313, 392.44557,   1.94459,  81.52859, 395.03246,   0.53863,  80.36202, 395.96685,   6.52789,  83.31231, 387.54019,   5.42767,  81.73462, 392.35437,   3.68265,  79.29995, 394.92767,   2.09566,  77.42221, 395.22111,   7.20866,  82.75405, 387.43748,   6.82823,  80.88168, 391.68750,   5.72300,  78.44143, 393.84876,   4.37823,  76.50381, 394.22257,   8.00304,  82.07700, 387.10802,   8.15964,  79.97061, 390.83324,   7.69039,  77.83951, 392.51825,   6.79154,  76.35369, 392.65604
   0.05000,   1.49879,  80.34563, 326.43744,  -6.94958,  80.57400, 322.67773,   7.44515,  41.25790, 323.04178,  13.73969,   8.46092, 297.78641,   9.94715,  80.11725, 330.19715,  21.05066,  49.56260, 356.58317,  16.83166,   8.03745, 353.27274,  -0.08898,  86.89348, 330.40301,  -2.17426, 102.20335, 338.20658,  -2.25901, 113.46233, 343.12077,   0.01616, 130.33503, 350.16987,   0.25338, 134.74733, 351.87151,   0.13062, 139.21239, 353.44263,  -3.37376, 125.77276, 347.58715, -14.80675, 128.84652, 341.73140, -25.14272, 113.47907, 322.77726, -35.59081,  97.21523, 305.38977, -36.97002,  94.68681, 306.41272, -38.55488,  91.42756, 307.06280, -38.88295,  88.89526, 307.23105, -38.42181,  94.65677, 305.45660, -41.73570,  90.94657, 303.59220, -42.81683,  87.67148, 302.49251, -42.76902,  85.70625, 301.90405, -38.20469,  95.13027, 304.34100, -41.31905,  91.76712, 301.91905, -41.98245,  88.43803, 299.90120, -41.00729,  86.32654, 299.05194, -37.97861,  95.56195, 303.60060, -40.61009,  92.93438, 300.79269, -41.04521,  90.31152, 298.60669, -40.15671,  88.35515, 297.56470, -37.52391,  96.13901, 302.78929, -39.69979,  94.09609, 299.71835, -40.00450,  92.30865, 297.64151, -39.22237,  90.97987, 296.83085,   2.02718, 124.67132, 348.48036,  14.53558, 121.10964, 350.78371,  10.40088, 101.14345, 367.71018,   5.51336,  84.28662, 386.89245,   3.02364,  84.95499, 388.53444,   0.09871,  85.19065, 390.75848,  -2.14461,  84.64124, 391.86036,   3.64870,  84.94391, 390.15676,   1.74718,  83.94427, 395.01560,  -0.44696,  82.53715, 397.52761,  -1.89543,  81.38851, 398.41826,   4.55166,  84.11300, 390.25761,   3.18494,  82.68811, 395.05111,   1.31266,  80.32422, 397.60086,  -0.27317,  78.44128, 397.86596,   5.24187,  83.55861, 390.21394,   4.62911,  81.82750, 394.49657,   3.41964,  79.45065, 396.67262,   2.07141,  77.51308, 397.03406,   6.05974,  82.87899, 389.95474,   6.01569,  80.90174, 393.75306,   5.46638,  78.82425, 395.48029,   4.57336,  77.33479, 395.61663
   0.06667,   0.84420,  80.69245, 328.08814,  -7.57101,  81.03478, 324.26326,   6.22937,  41.64378, 320.94728,  12.86585,   8.72174, 295.94341,   9.25940,  80.35012, 331.91301,  19.78517,  49.29963, 357.95475,  14.48785,   7.96441, 353.90081,  -0.74565,  87.17058, 332.16580,  -2.75440, 102.41758, 340.11123,  -2.72900, 113.67001, 345.04109,  -0.22089, 130.53393, 352.03193,   0.07149, 134.94412, 353.73045,  -0.00171, 139.40642, 355.31245,  -3.67160, 126.01294, 349.45714, -14.97599, 129.41789, 343.53529, -25.79839, 114.85545, 324.22050, -36.93909,  99.14435, 306.75494, -38.53342,  96.73940, 307.76283, -40.37608,  93.61595, 308.39988, -40.89722,  91.11752, 308.58624, -39.95393,  96.80439, 306.76249, -43.47790,  93.32580, 304.83779, -44.76691,  90.12554, 303.74183, -44.84825,  88.15442, 303.17720, -39.66855,  97.24536, 305.64894, -42.95092,  94.09049, 303.16928, -43.79992,  90.79296, 301.16926, -42.95999,  88.60359, 300.37441, -39.38867,  97.64903, 304.91112, -42.12317,  95.18655, 302.05248, -42.68684,  92.57401, 299.88355, -41.91589,  90.54317, 298.89165, -38.86791,  98.17972, 304.10790, -41.09671,  96.26283, 300.99396, -41.47131,  94.47511, 298.92883, -40.76650,  93.08108, 298.15780,   1.70974, 124.83426, 350.36979,  14.14973, 121.11447, 352.79077,   9.57361, 101.59810, 370.12340,   3.94268,  85.38391, 389.65268,   1.36228,  86.06274, 391.14340,  -1.67658,  86.32006, 393.20647,  -3.96572,  85.76919, 394.20890,   1.90288,  86.11127, 392.79512,  -0.23241,  85.23095, 397.57935,  -2.53298,  83.86685, 400.01883,  -4.00897,  82.72324, 400.86988,   2.81118,  85.29825, 392.96805,   1.21935,  83.99939, 397.72777,  -0.74814,  81.68536, 400.25143,  -2.31854,  79.78654, 400.49410,   3.51055,  84.75378, 392.97717,   2.70233,  83.14519, 397.27512,   1.41617,  80.81726, 399.46004,   0.07883,  78.87055, 399.81274,   4.35030,  84.07958, 392.78161,   4.13849,  82.21918, 396.63293,   3.53043,  80.18712, 398.39420,   2.65287,  78.68858, 398.53141
   0.08334,   0.09270,  81.21872, 329.82706,  -8.29658,  81.68321, 325.95836,   4.75328,  42.54084, 318.83982,  11.80604,   9.34043, 294.32272,   8.48198,  80.75423, 333.69575,  18.19671,  49.06824, 359.28322,  11.78310,   7.96707, 354.52338,  -1.48443,  87.62820, 334.01660,  -3.38319, 102.81717, 342.09905,  -3.22534, 114.06612, 347.03439,  -0.45288, 130.92287, 353.94219,  -0.09901, 135.32985, 355.63734,  -0.11834, 139.78649, 357.23678,  -3.97601, 126.44123, 351.39686, -15.18289, 130.13990, 345.46584, -26.52996, 116.40869, 325.84575, -38.46369, 101.28915, 308.38192, -40.26150,  99.02805, 309.38033, -42.35030,  96.06244, 310.01211, -43.06233,  93.61350, 310.22238, -41.64451,  99.18079, 308.33787, -45.36397,  95.94054, 306.36561, -46.85804,  92.82611, 305.28279, -47.07106,  90.85676, 304.74709, -41.29573,  99.57931, 307.22636, -44.73453,  96.63390, 304.70146, -45.77192,  93.37356, 302.72950, -45.07653,  91.11386, 301.99414, -40.96578,  99.94775, 306.49082, -43.79592,  97.64512, 303.59231, -44.49280,  95.04348, 301.44913, -43.84875,  92.94345, 300.51232, -40.38436, 100.42373, 305.69497, -42.66236,  98.62286, 302.54755, -43.11184,  96.83138, 300.50069, -42.49217,  95.37517, 299.77267,   1.38995, 125.18819, 352.30094,  13.76218, 121.30209, 354.80645,   8.95937, 102.16496, 372.49693,   2.78010,  86.50932, 392.31403,   0.10540,  87.16682, 393.63886,  -3.04704,  87.41030, 395.52564,  -5.37215,  86.83051, 396.42352,   0.55376,  87.28817, 395.31428,  -1.81517,  86.51556, 400.00625,  -4.20865,  85.17319, 402.36712,  -5.69830,  84.01886, 403.17901,   1.47230,  86.50758, 395.56502,  -0.34184,  85.33131, 400.27684,  -2.38251,  83.05227, 402.77408,  -3.91345,  81.11961, 403.00128,   2.18418,  85.98368, 395.63135,   1.18549,  84.50393, 399.93555,  -0.15627,  82.21838, 402.13174,  -1.45932,  80.24828, 402.48294,   3.05074,  85.32698, 395.50565,   2.67830,  83.59689, 399.40523,   2.02871,  81.61122, 401.20418,   1.18460,  80.09426, 401.34865
   0.10000,  -0.76893,  81.94401, 331.52893,  -9.12872,  82.54939, 327.61615,   2.93757,  44.09444, 316.27073,  10.47802,  10.50423, 292.43933,   7.59086,  81.33863, 335.44171,  16.47389,  49.07296, 360.60349,   8.95753,   8.23173, 355.25608,  -2.32195,  88.28630, 335.82830,  -4.07309, 103.41685, 344.05241,  -3.74500, 114.65627, 349.00106,  -0.63193, 131.47718, 355.85087,  -0.20682, 135.87687, 357.54860,  -0.17297, 140.32547, 359.17003,  -4.25193, 127.04932, 353.34769, -15.37969, 131.02587, 347.44758, -27.34869, 118.29120, 327.52721, -40.24341, 103.92648, 310.10937, -42.24110, 101.84034, 311.10875, -44.57708,  99.06717, 311.74895, -45.48949,  96.68874, 311.99193, -43.58234, 102.07992, 310.02872, -47.50415,  99.10486, 308.03077, -49.21922,  96.09668, 306.97541, -49.57808,  94.13913, 306.47548, -43.17644, 102.42378, 308.91836, -46.78176,  99.70744, 306.36903, -48.03265,  96.49698, 304.43957, -47.50511,  94.17260, 303.76908, -42.80058, 102.74773, 308.18389, -45.73865, 100.61456, 305.26320, -46.59297,  98.02926, 303.15755, -46.09895,  95.86355, 302.28110, -42.16403, 103.15727, 307.39328, -44.50551, 101.47411, 304.22735, -45.05008,  99.67847, 302.20741, -44.53321,  98.16103, 301.52566,   1.10135, 125.71044, 354.20261,  13.38989, 121.62222, 356.79672,   8.65558, 102.83245, 374.87380,   2.16462,  87.70784, 395.00124,  -0.61578,  88.30546, 396.12096,  -3.89157,  88.49478, 397.79143,  -6.24363,  87.85343, 398.56921,  -0.28270,  88.52563, 397.81311,  -2.91679,  87.86840, 402.37962,  -5.39996,  86.53184, 404.64938,  -6.88932,  85.35087, 405.42258,   0.64964,  87.79999, 398.15966,  -1.41563,  86.76595, 402.80093,  -3.51651,  84.51707, 405.27549,  -4.97630,  82.53006, 405.50208,   1.37712,  87.31247, 398.29662,   0.16410,  85.99327, 402.59795,  -1.22014,  83.75530, 404.81667,  -2.45920,  81.74705, 405.18306,   2.27687,  86.69041, 398.25851,   1.72504,  85.13064, 402.20836,   1.04409,  83.20449, 404.05966,   0.25694,  81.65943, 404.22623
   0.11667,  -1.72751,  82.65543, 333.16229, -10.05277,  83.42101, 329.20422,   0.77262,  46.18755, 313.40621,   8.54515,  12.37228, 289.97093,   6.59775,  81.88984, 337.12037,  14.72343,  49.14934, 361.92218,   6.00794,   8.62730, 355.99757,  -3.24858,  88.92737, 337.57480,  -4.84490, 103.95963, 346.00799,  -4.34318, 115.14472, 351.06402,  -0.88313, 131.84172, 358.04917,  -0.38314, 136.21792, 359.78673,  -0.29009, 140.64935, 361.45228,  -4.60197, 127.49821, 355.54311, -15.65889, 131.71795, 349.67884, -28.19478, 119.94091, 329.51941, -41.99618, 106.35958, 312.16807, -44.19088, 104.48661, 313.17643, -46.77837, 101.95121, 313.83502, -47.90589,  99.67110, 314.11484, -45.48640, 104.81923, 312.06568, -49.62628, 102.16067, 310.06150, -51.58782,  99.29387, 309.04257, -52.11347,  97.36484, 308.58079, -45.03224, 105.09788, 310.95572, -48.82421, 102.65493, 308.40055, -50.32691,  99.52356, 306.52145, -50.00013,  97.14543, 305.91459, -44.61619, 105.36861, 310.22138, -47.68473, 103.43720, 307.29446, -48.73307, 100.88831, 305.23255, -48.42182,  98.66611, 304.41554, -43.93187, 105.69976, 309.43396, -46.36151, 104.15675, 306.26306, -47.03155, 102.36834, 304.27467, -46.64232, 100.79431, 303.63788,   0.73870, 126.06573, 356.32177,  12.87835, 121.64923, 359.07396,   8.48650, 103.23561, 377.61851,   1.92813,  88.64152, 398.11242,  -0.93880,  89.15133, 399.04103,  -4.31232,  89.25616, 400.51258,  -6.67229,  88.53499, 401.19004,  -0.71665,  89.47293, 400.73513,  -3.57948,  88.91163, 405.17501,  -6.12421,  87.56519, 407.36952,  -7.59765,  86.34976, 408.11946,   0.22767,  88.81433, 401.17149,  -2.05419,  87.91009, 405.73782,  -4.18571,  85.68355, 408.20637,  -5.55868,  83.63823, 408.45576,   0.96853,  88.37222, 401.37474,  -0.42982,  87.21015, 405.66512,  -1.83228,  85.01837, 407.91824,  -2.99233,  82.97020, 408.32052,   1.89795,  87.79595, 401.42025,   1.19112,  86.41017, 405.41007,   0.49642,  84.54701, 407.31981,  -0.22364,  82.97396, 407.52366
   0.13334,  -2.75638,  83.40437, 334.72809, -11.06342,  84.30176, 330.75941,  -1.34320,  48.51114, 311.32630,   6.44962,  14.65639, 287.95486,   5.55065,  82.50697, 338.69676,  12.96828,  49.35790, 363.17562,   3.07863,   9.18088, 356.76475,  -4.23153,  89.62845, 339.22318,  -5.66874, 104.58099, 347.82504,  -5.00903, 115.71137, 352.98263,  -1.24834, 132.28178, 360.11235,  -0.67503, 136.63166, 361.89284,  -0.51343, 141.04256, 363.60691,  -5.05240, 128.01665, 357.59957, -15.98397, 132.47393, 351.67634, -29.12090, 121.76238, 331.30641, -43.87502, 109.14548, 314.01105, -46.21655, 107.46925, 315.03526, -48.99974, 105.15745, 315.71828, -50.30513, 102.97848, 316.02901, -47.47510, 107.88301, 313.90937, -51.79948, 105.52329, 311.92070, -53.97469, 102.80210, 310.93685, -54.64795, 100.91252, 310.50452, -46.99370, 108.10527, 312.79817, -50.95095, 105.92330, 310.25747, -52.68442, 102.88700, 308.42156, -52.54244, 100.48012, 307.85823, -46.55319, 108.32933, 312.06237, -49.74671, 106.59369, 309.14653, -50.98024, 104.09896, 307.12117, -50.84018, 101.84499, 306.34492, -45.84017, 108.59155, 311.27445, -48.36471, 107.18843, 308.11271, -49.16162, 105.42324, 306.15055, -48.89382, 103.81240, 305.54389,   0.27650, 126.50413, 358.30404,  12.22621, 121.70907, 361.24731,   8.36325, 103.64387, 380.24668,   2.01452,  89.46254, 401.09334,  -0.92127,  89.84414, 401.85296,  -4.36484,  89.82318, 403.15621,  -6.70779,  88.99562, 403.76794,  -0.80480,  90.28209, 403.53148,  -3.84852,  89.81141, 407.86017,  -6.41418,  88.44187, 410.01567,  -7.84699,  87.18297, 410.77257,   0.15458,  89.71295, 404.05260,  -2.29552,  88.94546, 408.55636,  -4.40961,  86.74235, 411.06067,  -5.66660,  84.63265, 411.37645,   0.90975,  89.33225, 404.31802,  -0.63003,  88.34745, 408.60433,  -2.00858,  86.21232, 410.92557,  -3.06086,  84.12271, 411.40386,   1.86898,  88.82029, 404.44356,   1.04732,  87.63843, 408.47677,   0.37167,  85.85483, 410.46758,  -0.26085,  84.25443, 410.73809
   0.15000,  -3.82010,  83.82959, 336.19003, -12.09656,  84.88365, 332.19608,  -3.16836,  50.48235, 310.06160,   4.24021,  17.11190, 285.88263,   4.45636,  82.77553, 340.18399,  11.33754,  49.39309, 364.50186,   0.35535,   9.56548, 357.70115,  -5.24252,  90.00567, 340.76758,  -6.51890, 104.87518, 349.53710,  -5.72067, 115.95044, 354.79283,  -1.72665, 132.41004, 362.05118,  -1.09136, 136.73585, 363.86887,  -0.86611, 141.12770, 365.62418,  -5.59672, 128.20875, 359.53165, -16.44764, 132.81489, 353.57411, -30.28742, 123.40276, 333.02849, -46.06506, 112.02443, 315.77742, -48.51445, 110.52506, 316.82332, -51.45282, 108.42286, 317.53315, -52.91034, 106.34506, 317.86001, -49.74776, 111.02584, 315.70486, -54.24585, 108.98022, 313.75396, -56.61944, 106.42110, 312.79408, -57.43087, 104.58409, 312.37256, -49.25951, 111.20961, 314.58963, -53.38251, 109.31315, 312.08359, -55.34447, 106.40543, 310.26962, -55.38124, 103.99306, 309.71312, -48.80921, 111.39915, 313.85006, -52.14088, 109.89149, 310.96214, -53.56634, 107.48717, 308.95349, -53.59548, 105.22687, 308.18360, -48.08474, 111.60687, 313.05636, -50.72687, 110.38172, 309.91681, -51.66359, 108.67355, 307.96597, -51.51752, 107.04589, 307.36269,  -0.27723, 126.63571, 360.17167,  11.46511, 121.45136, 363.28474,   8.31127, 103.78090, 382.77982,   2.58408,  89.87531, 403.98911,  -0.39745,  90.09009, 404.62620,  -3.87664,  89.90303, 405.81674,  -6.17593,  88.94824, 406.40844,  -0.37444,  90.64555, 406.27354,  -3.53489,  90.24056, 410.52453,  -6.07474,  88.83230, 412.68564,  -7.44156,  87.52461, 413.48091,   0.60301,  90.18403, 406.86302,  -1.95113,  89.53878, 411.32799,  -3.99457,  87.35723, 413.90864,  -5.10944,  85.18659, 414.32814,   1.37297,  89.87812, 407.17804,  -0.25030,  89.06898, 411.47029,  -1.55863,  86.99688, 413.88732,  -2.47687,  84.87200, 414.47404,   2.36083,  89.44731, 407.36914,   1.47670,  88.47796, 411.44558,   0.85629,  86.78533, 413.53151,   0.32940,  85.16429, 413.89091
