time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  94.09000,   0.00000,  -9.62500,  94.09000,   0.00000,  -9.62500,  50.97000,   0.00000,  -9.62500,   7.85000,   0.00000,   9.62500,  94.09000,   0.00000,   9.62500,  50.97000,   0.00000,   9.62500,   7.85000,   0.00000,   0.00000, 102.15300,   0.00000,   0.00000, 120.00600,   0.00000,   0.00000, 132.67600,   0.00000,   0.00000, 151.68100,   0.00000,   0.00000, 156.54100,   0.00000,   0.00000, 161.40100,   0.00000,  -2.88000, 145.92200,   0.00000, -16.37500, 145.92200,   0.00000, -43.62500, 145.92200,   0.00000, -70.37500, 145.92200,   0.00000, -72.27000, 145.44800,   2.46300, -74.16400, 142.76948,   4.35700, -75.48000, 140.90837,   5.67300, -73.69100, 146.44500,   2.03500, -79.05700, 146.35100,   3.06300, -82.78000, 146.35100,   3.06300, -84.89100, 146.35100,   3.06300, -73.85400, 146.45400,   0.77900, -79.17600, 146.36800,   1.10200, -83.23800, 146.36800,   1.10200, -85.78500, 146.36800,   1.10200, -73.83700, 146.47500,  -0.13300, -78.60400, 146.45200,  -0.62600, -82.14400, 146.45200,  -0.62600, -84.60100, 146.45200,  -0.62600, -73.62600, 146.40500,  -1.23600, -77.88500, 146.38200,  -2.35800, -80.72000, 146.38200,  -2.35800, -82.51100, 146.38200,  -2.35800,   2.88000, 145.92200,   0.00000,  16.37500, 145.92200,   0.00000,  43.62500, 145.92200,   0.00000,  70.37500, 145.92200,   0.00000,  72.27000, 145.44800,   2.46300,  74.16400, 142.76948,   4.35700,  75.48000, 140.90837,   5.67300,  73.69100, 146.44500,   2.03500,  79.05700, 146.35100,   3.06300,  82.78000, 146.35100,   3.06300,  84.89100, 146.35100,   3.06300,  73.85400, 146.45400,   0.77900,  79.17600, 146.36800,   1.10200,  83.23800, 146.36800,   1.10200,  85.78500, 146.36800,   1.10200,  73.83700, 146.47500,  -0.13300,  78.60400, 146.45200,  -0.62600,  82.14400, 146.45200,  -0.62600,  84.60100, 146.45200,  -0.62600,  73.62600, 146.40500,  -1.23600,  77.88500, 146.38200,  -2.35800,  80.72000, 146.38200,  -2.35800,  82.51100, 146.38200,  -2.35800
   0.01667, -31.04321,  91.73325, 254.14154, -35.08231,  93.31996, 245.55034, -47.58421,  54.50503, 231.53473, -43.24351,  31.82422, 267.95002, -27.00412,  90.14653, 262.73274, -26.58278,  47.28737, 267.44958, -28.89145,   7.82932, 250.21395, -31.36643,  99.62727, 255.75145, -33.72657, 116.71829, 260.34019, -36.47232, 128.40624, 264.38760, -41.57394, 145.25200, 271.55587, -42.85063, 149.77390, 272.79768, -43.81709, 154.48790, 273.47863, -41.17994, 140.87780, 266.84720, -43.05625, 146.73692, 254.83616, -45.77196, 136.35646, 229.78753, -62.98981, 128.11422, 211.04791, -65.38041, 129.59353, 209.64123, -68.36682, 130.81317, 207.65559, -70.81706, 130.97859, 206.70882, -64.88901, 129.54200, 207.92300, -67.41197, 129.47176, 203.07642, -70.16115, 128.89041, 200.63413, -71.98079, 128.22754, 199.79398, -64.24116, 128.47950, 207.68726, -66.35076, 127.83648, 202.83221, -69.05533, 126.22434, 200.26586, -71.17023, 124.82370, 200.03648, -63.71240, 127.73775, 207.63542, -65.12639, 126.54242, 203.21505, -67.15244, 124.70466, 200.96798, -69.05601, 123.19195, 200.61447, -63.07806, 126.82049, 207.78472, -63.96436, 125.18645, 203.79186, -65.22103, 123.42622, 201.95895, -66.53125, 122.21325, 201.81854, -38.87609, 139.41681, 271.92021, -35.67662, 134.84255, 284.20656, -48.52313, 111.41985, 289.58307, -67.83432,  92.92057, 290.22897, -70.84490,  93.77222, 290.53427, -74.57063,  94.18830, 291.07719, -77.16705,  93.81859, 290.85506, -71.12088,  93.53813, 292.28512, -75.36855,  92.33367, 295.50478, -78.70082,  90.96060, 296.43825, -80.52271,  89.89861, 296.34239, -70.42593,  92.56798, 292.70941, -74.19255,  90.86867, 296.07992, -77.32258,  88.47809, 297.07384, -78.99529,  86.74258, 296.25090, -69.82590,  91.91992, 292.93845, -72.68046,  89.85778, 296.18912, -75.03006,  87.40283, 297.18121, -76.54478,  85.57246, 296.55492, -69.01163,  91.14791, 293.02211, -71.12917,  88.80614, 296.09304, -72.64145,  86.61138, 297.05910, -73.60504,  85.19962, 296.52423
   0.03333, -30.30855,  91.81833, 254.28593, -34.38963,  93.38268, 245.71049, -47.53260,  54.33465, 232.98856, -42.45783,  30.98924, 268.88526, -26.22747,  90.25397, 262.86138, -26.15766,  47.35050, 267.17666, -28.66886,   7.86759, 250.02651, -30.68072,  99.70885, 255.90246, -33.15417, 116.78769, 260.47682, -35.99120, 128.47018, 264.47679, -41.25607, 145.32453, 271.50544, -42.55978, 149.83884, 272.74678, -43.57753, 154.53812, 273.45427, -40.79597, 140.92605, 266.82546, -42.63430, 146.74153, 254.78737, -45.37951, 136.50035, 229.68468, -62.61867, 128.37132, 210.91523, -65.01261, 129.85072, 209.51434, -68.00269, 131.07095, 207.53458, -70.45417, 131.23541, 206.59086, -64.52304, 129.80346, 207.79546, -67.05123, 129.74052, 202.95151, -69.80238, 129.16104, 200.51100, -71.62213, 128.49775, 199.67142, -63.87415, 128.74227, 207.55674, -65.98830, 128.10706, 202.70264, -68.69372, 126.49711, 200.13580, -70.80716, 125.09439, 199.90574, -63.34454, 128.00127, 207.50274, -64.76194, 126.81368, 203.08137, -66.78821, 124.97826, 200.83258, -68.69032, 123.46398, 200.47792, -62.70893, 127.08447, 207.64937, -63.59762, 125.45790, 203.65400, -64.85416, 123.70006, 201.81870, -66.16305, 122.48580, 201.67712, -38.52539, 139.50841, 271.92570, -35.39606, 134.99434, 284.25232, -48.48770, 111.73291, 289.73658, -67.76137,  93.20537, 290.64118, -70.76212,  94.08080, 290.97465, -74.47936,  94.52608, 291.55153, -77.08057,  94.17766, 291.35215, -71.02431,  93.84632, 292.72757, -75.25258,  92.67130, 295.98344, -78.58735,  91.32375, 296.94477, -80.41854,  90.27662, 296.86371, -70.33345,  92.86995, 293.14423, -74.08335,  91.19601, 296.54592, -77.22356,  88.82925, 297.56443, -78.91754,  87.10852, 296.75403, -69.73664,  92.21674, 293.36696, -72.57856,  90.17280, 296.64013, -74.93893,  87.73538, 297.64972, -76.47392,  85.91823, 297.03441, -68.92792,  91.43806, 293.44221, -71.03674,  89.10884, 296.52865, -72.55798,  86.92489, 297.50508, -73.53769,  85.52174, 296.97685
   0.05000, -29.55139,  91.87691, 254.46727, -33.68819,  93.40723, 245.91241, -47.35185,  54.09830, 234.62318, -41.52451,  30.06016, 269.94377, -25.41460,  90.34658, 263.02213, -25.65450,  47.40689, 266.95399, -28.38570,   7.91621, 249.85543, -29.99797,  99.76154, 256.09365, -32.62084, 116.82073, 260.65808, -35.55990, 128.49296, 264.61409, -40.98714, 145.34993, 271.51174, -42.31477, 149.85507, 272.76104, -43.38158, 154.53729, 273.50822, -40.46728, 140.92767, 266.86052, -42.29719, 146.69827, 254.79957, -45.09761, 136.58972, 229.64927, -62.36128, 128.58893, 210.84725, -64.75809, 130.06471, 209.44745, -67.74992, 131.28088, 207.46785, -70.20113, 131.44068, 206.52262, -64.26713, 130.02209, 207.72885, -66.79157, 129.96186, 202.88291, -69.53938, 129.37983, 200.43924, -71.35675, 128.71336, 199.59703, -63.61526, 128.96307, 207.48855, -65.72414, 128.33169, 202.63166, -68.42339, 126.71958, 200.05971, -70.53295, 125.31173, 199.82536, -63.08365, 128.22359, 207.43351, -64.49464, 127.04083, 203.00880, -66.51439, 125.20443, 200.75496, -68.41223, 123.68581, 200.39595, -62.44572, 127.30819, 207.57884, -63.32716, 125.68703, 203.57966, -64.57769, 123.92943, 201.74003, -65.88327, 122.71199, 201.59513, -38.21781, 139.55601, 271.98263, -35.13510, 135.09838, 284.34149, -48.43072, 111.99336, 289.99368, -67.65992,  93.44053, 291.25568, -70.65161,  94.33498, 291.61877, -74.35987,  94.80408, 292.23334, -76.96510,  94.47141, 292.06143, -70.89709,  94.10481, 293.37468, -75.09858,  92.96092, 296.67597, -78.43145,  91.63546, 297.67389, -80.26980,  90.59953, 297.61345, -70.20797,  93.12484, 293.78573, -73.93269,  91.47931, 297.22870, -77.07671,  89.13355, 298.28341, -78.78954,  87.42206, 297.49333, -69.61292,  92.46830, 294.00332, -72.43334,  90.44698, 297.30897, -74.79809,  88.02573, 298.34682, -76.35053,  86.21714, 297.75032, -68.80827,  91.68477, 294.07146, -70.89933,  89.37335, 297.18326, -72.42380,  87.20033, 298.17887, -73.41754,  85.80245, 297.66304
   0.06667, -28.80822,  91.90065, 254.69310, -33.00322,  93.39510, 246.16027, -47.21601,  53.82734, 236.58304, -40.56610,  28.99963, 271.20526, -24.61322,  90.40620, 263.22593, -25.06853,  47.43466, 266.77186, -28.07413,   7.95067, 249.70390, -29.35011,  99.77532, 256.33869, -32.15736, 116.80365, 260.90868, -35.21521, 128.45750, 264.82865, -40.82179, 145.30556, 271.60353, -42.17337, 149.80089, 272.86246, -43.27919, 154.46695, 273.65282, -40.24067, 140.86181, 266.98014, -42.10203, 146.59727, 254.90724, -44.96147, 136.62226, 229.71032, -62.24466, 128.73648, 210.87768, -64.63688, 130.21378, 209.47164, -67.62183, 131.43227, 207.48310, -70.06957, 131.59274, 206.52902, -64.13948, 130.17452, 207.75481, -66.64578, 130.12209, 202.89937, -69.38417, 129.54336, 200.44438, -71.19809, 128.87764, 199.59417, -63.48625, 129.11624, 207.51501, -65.57669, 128.49286, 202.64912, -68.26560, 126.88429, 200.06414, -70.37365, 125.47595, 199.81934, -62.95412, 128.37709, 207.46060, -64.34804, 127.20184, 203.02848, -66.35854, 125.36870, 200.76374, -68.25435, 123.84992, 200.39487, -62.31633, 127.46170, 207.60663, -63.18210, 125.84750, 203.60122, -64.42498, 124.09274, 201.75370, -65.72946, 122.87500, 201.60170, -38.00503, 139.53854, 272.12100, -34.95514, 135.12489, 284.50377, -48.42907, 112.18768, 290.41140, -67.61195,  93.62431, 292.13785, -70.59576,  94.53155, 292.53263, -74.29472,  95.01718, 293.18900, -76.90303,  94.69377, 293.04911, -70.82136,  94.30918, 294.29220, -74.98789,  93.19420, 297.64727, -78.31372,  91.88535, 298.68962, -80.15654,  90.85620, 298.65493, -70.13113,  93.32821, 294.69897, -73.82115,  91.71033, 298.19206, -76.96130,  89.38069, 299.29300, -78.68977,  87.67268, 298.52992, -69.53604,  92.67025, 294.91212, -72.32485,  90.67261, 298.25874, -74.68629,  88.26446, 299.33393, -76.25245,  86.45948, 298.76291, -68.73359,  91.88393, 294.97387, -70.79648,  89.59266, 298.11919, -72.31726,  87.42937, 299.14127, -73.32228,  86.03328, 298.64270
   0.08334, -28.10359,  91.88403, 254.95695, -32.36438,  93.33031, 246.44846, -47.10967,  53.53633, 238.80976, -39.67643,  27.91774, 272.68851, -23.84279,  90.43774, 263.46545, -24.54050,  47.43302, 266.53819, -27.82056,   7.95846, 249.49900, -28.74470,  99.74865, 256.61484, -31.73966, 116.74446, 261.18676, -34.91270, 128.37607, 265.08115, -40.68091, 145.20290, 271.77260, -42.04722, 149.68838, 273.05062, -43.17431, 154.34043, 273.89184, -40.04931, 140.74571, 267.16880, -41.98029, 146.46260, 255.09803, -44.88713, 136.58703, 229.86738, -62.18571, 128.78473, 211.01411, -64.56184, 130.27580, 209.59540, -67.52817, 131.51190, 207.58992, -69.96892, 131.68561, 206.62041, -64.05359, 130.23726, 207.88174, -66.52879, 130.20530, 203.01019, -69.25401, 129.64387, 200.53659, -71.06552, 128.98824, 199.67353, -63.40381, 129.17633, 207.64422, -65.46579, 128.57150, 202.76387, -68.14554, 126.98025, 200.15874, -70.25856, 125.58230, 199.89782, -62.87482, 128.43478, 207.59189, -64.24569, 127.27403, 203.14878, -66.25017, 125.45443, 200.86783, -68.15069, 123.94527, 200.48401, -62.24230, 127.51614, 207.74036, -63.08985, 125.91318, 203.72654, -64.32904, 124.16760, 201.86789, -65.63823, 122.95630, 201.70529, -37.81668, 139.46219, 272.32104, -34.77767, 135.06822, 284.71348, -48.36856, 112.27472, 290.90272, -67.51180,  93.71992, 293.09774, -70.49100,  94.63163, 293.51631, -74.18308,  95.12374, 294.20574, -76.79285,  94.80154, 294.09293, -70.69970,  94.41928, 295.27920, -74.83432,  93.32627, 298.68065, -78.15081,  92.02580, 299.76248, -79.99461,  90.99788, 299.75141, -70.00626,  93.44007, 295.68476, -73.66340,  91.84458, 299.22243, -76.79439,  89.52353, 300.36677, -78.53137,  87.81259, 299.63004, -69.40959,  92.78287, 295.89582, -72.16726,  90.80611, 299.28043, -74.51987,  88.40581, 300.39191, -76.09277,  86.59886, 299.84621, -68.60714,  91.99630, 295.95419, -70.64107,  89.72423, 299.13214, -72.15341,  87.56786, 300.18100, -73.16420,  86.16977, 299.70002
   0.10000, -27.45261,  91.82999, 255.28798, -31.79561,  93.22030, 246.81178, -46.74233,  53.22294, 240.80005, -38.30814,  26.59045, 273.64680, -23.10960,  90.43967, 263.76418, -23.95603,  47.41294, 266.46942, -27.50020,   7.97228, 249.40461, -28.19668,  99.68311, 256.95734, -31.39156, 116.63852, 261.54391, -34.68901, 128.23655, 265.43510, -40.62842, 145.01539, 272.09721, -42.00260, 149.48904, 273.40784, -43.12980, 154.12929, 274.31179, -39.95356, 140.55579, 267.50189, -41.97604, 146.27627, 255.44781, -44.90282, 136.44946, 230.20043, -62.20075, 128.69677, 211.32610, -64.55143, 130.21204, 209.89072, -67.49007, 131.47865, 207.86363, -69.92137, 131.67668, 206.87523, -64.03012, 130.17076, 208.18105, -66.46716, 130.16821, 203.29020, -69.17807, 129.63566, 200.79458, -70.98887, 128.99828, 199.91649, -63.38858, 129.10402, 207.94727, -65.41778, 128.52470, 203.05011, -68.09194, 126.96210, 200.42199, -70.21600, 125.58457, 200.14270, -62.86624, 128.35754, 207.89813, -64.21309, 127.21525, 203.44291, -66.21674, 125.41752, 201.14396, -68.12839, 123.92691, 200.74330, -62.24363, 127.43276, 208.05037, -63.07477, 125.84280, 204.02797, -64.31580, 124.11132, 202.15740, -65.63509, 122.91268, 201.98297, -37.70369, 139.30616, 272.65496, -34.63726, 134.90310, 285.03741, -48.26865, 112.23377, 291.58334, -67.37226,  93.70567, 294.28961, -70.34962,  94.61354, 294.72910, -74.03633,  95.10217, 295.44911, -76.64625,  94.77312, 295.36284, -70.54150,  94.41363, 296.49536, -74.64187,  93.33602, 299.94287, -77.94512,  92.03586, 301.06485, -79.78649,  91.00364, 301.07838, -69.84201,  93.43902, 296.90161, -73.46248,  91.86105, 300.48458, -76.57722,  89.54123, 301.67481, -78.31687,  87.82093, 300.96672, -69.24186,  92.78476, 297.11193, -71.96340,  90.82649, 300.53629, -74.29992,  88.42898, 301.68703, -75.87350,  86.61445, 301.16915, -68.43704,  92.00049, 297.16861, -70.43608,  89.74708, 300.38178, -71.93353,  87.59496, 301.46033, -72.94540,  86.19106, 300.99897
   0.11667, -26.84614,  91.75313, 255.65123, -31.27221,  93.09227, 247.20983, -46.30417,  52.89535, 243.01668, -37.14576,  25.54324, 275.06852, -22.42007,  90.41399, 264.09263, -23.44017,  47.36911, 266.42347, -27.25289,   7.97155, 249.31706, -27.66123,  99.59864, 257.32322, -31.02745, 116.51491, 261.93168, -34.45590, 128.06766, 265.84430, -40.60205, 144.75992, 272.53634, -41.98602, 149.21898, 273.88580, -43.09610, 153.85121, 274.85005, -39.88641, 140.31014, 267.93767, -42.04225, 146.06975, 255.92541, -44.94961, 136.24713, 230.67416, -62.22905, 128.49629, 211.78215, -64.54276, 130.04562, 210.32324, -67.44201, 131.35485, 208.26674, -69.86009, 131.58831, 207.25391, -64.00492, 129.99656, 208.61891, -66.39237, 130.02917, 203.70377, -69.08550, 129.53606, 201.18095, -70.89649, 128.92514, 200.28463, -63.37672, 128.92053, 208.39154, -65.36476, 128.37047, 203.47418, -68.03487, 126.84688, 200.81918, -70.17592, 125.50052, 200.51844, -62.86488, 128.16650, 208.34763, -64.18335, 127.04359, 203.87901, -66.18982, 125.27512, 201.55991, -68.11892, 123.81258, 201.13994, -62.25742, 127.23273, 208.50608, -63.07116, 125.65471, 204.47543, -64.31847, 123.94137, 202.59237, -65.65332, 122.76213, 202.40460, -37.59282, 139.09333, 273.07930, -34.44977, 134.65760, 285.43084, -48.05626, 112.10642, 292.42157, -67.09922,  93.61532, 295.73935, -70.07469,  94.51662, 296.20443, -73.75485,  94.99861, 296.96141, -76.36440,  94.65990, 296.90701, -70.24620,  94.33088, 297.97432, -74.30413,  93.26816, 301.47624, -77.59009,  91.96612, 302.64581, -79.42754,  90.92773, 302.68850, -69.53880,  93.36212, 298.38087, -73.11359,  91.80183, 302.01705, -76.20670,  89.48140, 303.26127, -77.94805,  87.74926, 302.58702, -68.93404,  92.71171, 298.58994, -71.61039,  90.77289, 302.06067, -73.92550,  88.37711, 303.25738, -75.49833,  86.55292, 302.77224, -68.12588,  91.93071, 298.64418, -70.08109,  89.69747, 301.89814, -71.55885,  87.54935, 303.01126, -72.57083,  86.13816, 302.57295
   0.13334, -26.29443,  91.62289, 256.03714, -30.82612,  92.91291, 247.64427, -45.80470,  52.56161, 245.04642, -36.04441,  24.60539, 276.39161, -21.76273,  90.33286, 264.43001, -22.99213,  47.27702, 266.43443, -26.97636,   7.92890, 249.25346, -27.15030,  99.46501, 257.70464, -30.64722, 116.34614, 262.34455, -34.19457, 127.84727, 266.30298, -40.54263, 144.42757, 273.08425, -41.92625, 148.87292, 274.47855, -42.98932, 153.50404, 275.49945, -39.79497, 140.00024, 268.46904, -42.15190, 145.83374, 256.53044, -44.99541, 135.96980, 231.28802, -62.21202, 128.15615, 212.36455, -64.47937, 129.74214, 210.87264, -67.32799, 131.09714, 208.77542, -69.72778, 131.36973, 207.72943, -63.91923, 129.68203, 209.17587, -66.23852, 129.74853, 204.22854, -68.90485, 129.29742, 201.66965, -70.71341, 128.71576, 200.74928, -63.30607, 128.59537, 208.95817, -65.23576, 128.07261, 204.01465, -67.89451, 126.59062, 201.32493, -70.05348, 125.27986, 200.99631, -62.80636, 127.83284, 208.92200, -64.08235, 126.72667, 204.43690, -66.08628, 124.98915, 202.09236, -68.03367, 123.55854, 201.64753, -62.21683, 126.88924, 209.08966, -63.00178, 125.32012, 205.04984, -64.25177, 123.62557, 203.15161, -65.60347, 122.46857, 202.94680, -37.44305, 138.80640, 273.58966, -34.19135, 134.31926, 285.89442, -47.71135, 111.85805, 293.32854, -66.68523,  93.40739, 297.21795, -69.65928,  94.29983, 297.70856, -73.33303,  94.77225, 298.50184, -75.94156,  94.42230, 298.47836, -69.81081,  94.12676, 299.48155, -73.82602,  93.07373, 303.03526, -77.09357,  91.76695, 304.25024, -78.92604,  90.72129, 304.32070, -69.09495,  93.16405, 299.88766, -72.62349,  91.61649, 303.57411, -75.69308,  89.29272, 304.86929, -77.43429,  87.54831, 304.22705, -68.48522,  92.51776, 300.09503, -71.11556,  90.59416, 303.60913, -73.40740,  88.19791, 304.84891, -74.97767,  86.36359, 304.39463, -67.67321,  91.74055, 300.14636, -69.58358,  89.52390, 303.43808, -71.04008,  87.37815, 304.58332, -72.05077,  85.95949, 304.16666
   0.15000, -25.85564,  91.45424, 256.43469, -30.52503,  92.68752, 248.10904, -45.27165,  52.18262, 247.00250, -34.95987,  23.68720, 277.67843, -21.18624,  90.22096, 264.76034, -22.63663,  47.16217, 266.54112, -26.64178,   7.87184, 249.23322, -26.73514,  99.29641, 258.08962, -30.34871, 116.14020, 262.77560, -34.01890, 127.57492, 266.81367, -40.58130, 143.99999, 273.76649, -41.95692, 148.42993, 275.21664, -42.94781, 153.06473, 276.29196, -39.80704, 139.61433, 269.11601, -42.39036, 145.53630, 257.26815, -45.07629, 135.56523, 232.05058, -62.16828, 127.60809, 213.07400, -64.39644, 129.22206, 211.55332, -67.20207, 130.61180, 209.42118, -69.58583, 130.91524, 208.34738, -63.81792, 129.15073, 209.86315, -66.07967, 129.23891, 204.88959, -68.72271, 128.81926, 202.30135, -70.52854, 128.26064, 201.36155, -63.21737, 128.05528, 209.65454, -65.09776, 127.54891, 204.69035, -67.74594, 126.09809, 201.97335, -69.91890, 124.81651, 201.62265, -62.72784, 127.28587, 209.62552, -63.96789, 126.18809, 205.12830, -65.96880, 124.47347, 202.76440, -67.93055, 123.06889, 202.30014, -62.15332, 126.33460, 209.80170, -62.91386, 124.76807, 205.75620, -64.16543, 123.08697, 203.84709, -65.53054, 121.94827, 203.62910, -37.37841, 138.43122, 274.20321, -33.95658, 133.85135, 286.42740, -47.33934, 111.47230, 294.34209, -66.20730,  93.05278, 298.84586, -69.17939,  93.93361, 299.36822, -72.84517,  94.39296, 300.20487, -75.45198,  94.02984, 300.21678, -69.30761,  93.77164, 301.14410, -73.27216,  92.72234, 304.75532, -76.51740,  91.40740, 306.02025, -78.34351,  90.35310, 306.12086, -68.58180,  92.81525, 301.54746, -72.05553,  91.27476, 305.28851, -75.09666,  88.94439, 306.63786, -76.83696,  87.18705, 306.02931, -67.96621,  92.17341, 301.75135, -70.54211,  90.26023, 305.31118, -72.80589,  87.86090, 306.59575, -74.37243,  86.01576, 306.17356, -67.14969,  91.40063, 301.79752, -69.00699,  89.19652, 305.12780, -70.43798,  87.05121, 306.30559, -71.44664,  85.62477, 305.91118
