time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667, -31.48097,  78.74001,-177.18732, -38.16047,  77.03876,-183.35599, -27.99276,  43.87290,-159.90945, -18.44214,   8.07661,-179.41606, -24.80146,  80.44127,-171.01865,  -0.67049,  51.40379,-152.91844,   0.50908,   9.56509,-154.02683, -35.03333,  85.40877,-175.17995, -41.09149, 100.62134,-169.56636, -43.10205, 111.59538,-164.42346, -41.98011, 126.82584,-154.11188, -42.46012, 131.08034,-152.08975, -43.46123, 135.59504,-151.07214, -45.09974, 122.23860,-156.97570, -55.92748, 123.77624,-164.38157, -58.94250, 105.65337,-183.47924, -64.74266,  88.63807,-202.26322, -64.68279,  85.58895,-202.06128, -64.35776,  81.93599,-202.38897, -63.30596,  79.62901,-202.73541, -65.75783,  85.12196,-203.34541, -66.31431,  80.94656,-206.58264, -65.33327,  78.00610,-208.45232, -64.17107,  76.56025,-209.32954, -65.68406,  85.92703,-204.27402, -66.18630,  82.28979,-207.93382, -64.70837,  79.75978,-210.58135, -62.65878,  78.71453,-211.49634, -65.62903,  86.59859,-204.84990, -66.06896,  83.91234,-208.63192, -64.75426,  82.12547,-211.26365, -62.83484,  81.21986,-212.35829, -65.45095,  87.52130,-205.41104, -65.78695,  85.61376,-209.23034, -64.82197,  84.55347,-211.58526, -63.35551,  84.05341,-212.38150, -39.54046, 122.18239,-157.49756, -26.64320, 119.91736,-159.22426, -27.77964,  93.86995,-154.48178, -29.93001,  69.89677,-144.65007, -32.02458,  68.98257,-142.62066, -34.31468,  67.30969,-140.27246, -36.08636,  65.70326,-139.36196, -31.03265,  68.37810,-141.32704, -31.48472,  64.70918,-137.51154, -32.71251,  61.73140,-135.85934, -33.66999,  59.94616,-135.53243, -29.99787,  67.88793,-141.77967, -29.87949,  64.04386,-138.30331, -30.61905,  60.33882,-137.15426, -31.72722,  58.19873,-137.72219, -29.25076,  67.63794,-142.18586, -28.48270,  63.99049,-139.38956, -28.67894,  60.63653,-138.64136, -29.52739,  58.47132,-139.18408, -28.41179,  67.42116,-142.85452, -27.17499,  63.95629,-140.66281, -26.90492,  61.24911,-140.21640, -27.45484,  59.69172,-140.77020
   0.03333, -32.57481,  78.47027,-176.77834, -38.99379,  76.87594,-183.24497, -28.82250,  43.50524,-160.09248, -18.84152,   8.00668,-179.92500, -26.15583,  80.06459,-170.31170,  -2.51064,  51.04256,-151.55742,  -2.85421,   9.18002,-152.26955, -36.19013,  85.12261,-174.82977, -42.31043, 100.37697,-169.39999, -44.33276, 111.41073,-164.39124, -43.27006, 126.69285,-154.15006, -43.76257, 130.95141,-152.13950, -44.79622, 135.45540,-151.10709, -46.37852, 122.15559,-157.10421, -56.79067, 124.11812,-164.99009, -60.17347, 106.30472,-184.31595, -66.30481,  89.35102,-203.05039, -66.33218,  86.30209,-202.83874, -66.10654,  82.64043,-203.15245, -65.11661,  80.30381,-203.48221, -67.40805,  85.86117,-204.13136, -68.05152,  81.69243,-207.36105, -67.13609,  78.71961,-209.21273, -66.00684,  77.23897,-210.07482, -67.30327,  86.66083,-205.06166, -67.87358,  83.02714,-208.71501, -66.44286,  80.44817,-211.34115, -64.41504,  79.34303,-212.23400, -67.22419,  87.32871,-205.63902, -67.70448,  84.64349,-209.41686, -66.41626,  82.81198,-212.03095, -64.51299,  81.84949,-213.10506, -67.01521,  88.24423,-206.20126, -67.36947,  86.33440,-210.01775, -66.41302,  85.23986,-212.36045, -64.95390,  84.69640,-213.14159, -40.80566, 121.96812,-157.40275, -27.91929, 119.28606,-158.49790, -31.03102,  93.43994,-153.54356, -35.28271,  69.97267,-143.18932, -37.53597,  69.24327,-141.25740, -40.05967,  67.77552,-139.01379, -41.99504,  66.32250,-138.18221, -36.65698,  68.57029,-139.91679, -37.57909,  64.97595,-136.11498, -39.11753,  62.11760,-134.51265, -40.22947,  60.41710,-134.22528, -35.64500,  67.99569,-140.31885, -35.99743,  64.17872,-136.82852, -37.08480,  60.55288,-135.70357, -38.33370,  58.50452,-136.31598, -34.90233,  67.68386,-140.68878, -34.56049,  64.00611,-137.84793, -35.06005,  60.68392,-137.09905, -36.05355,  58.58990,-137.67403, -34.05332,  67.39595,-141.31669, -33.20201,  63.85845,-139.05837, -33.17130,  61.14150,-138.59116, -33.81821,  59.62935,-139.16515
   0.05000, -33.78065,  78.24360,-176.26575, -39.89354,  76.77482,-183.05086, -29.64536,  43.13812,-160.32106, -19.16803,   7.95834,-180.46319, -27.66775,  79.71238,-169.48064,  -4.51894,  50.63342,-150.20258,  -6.29377,   8.80280,-150.58455, -37.46818,  84.87405,-174.37884, -43.64771, 100.17212,-169.14259, -45.66667, 111.27113,-164.27874, -44.64912, 126.60454,-154.10989, -45.15116, 130.86680,-152.10956, -46.21619, 135.35896,-151.05770, -47.74461, 122.11863,-157.15471, -57.80727, 124.41299,-165.39667, -61.63285, 106.95293,-184.96095, -68.24643,  90.08904,-203.61222, -68.38674,  87.04365,-203.39434, -68.29263,  83.37545,-203.69855, -67.38624,  81.00347,-204.01579, -69.46819,  86.63921,-204.69421, -70.23903,  82.48901,-207.91989, -69.41881,  79.48033,-209.75822, -68.33790,  77.95739,-210.60851, -69.32724,  87.43228,-205.62537, -70.00222,  83.81309,-209.27528, -68.64682,  81.17733,-211.88493, -66.65402,  79.99676,-212.75989, -69.21944,  88.09544,-206.20352, -69.76888,  85.42051,-209.97924, -68.52867,  83.53694,-212.57951, -66.65376,  82.50303,-213.63699, -68.97292,  89.00138,-206.76608, -69.36780,  87.09661,-210.58113, -68.43427,  85.96228,-212.91412, -66.99010,  85.36404,-213.68292, -42.17034, 121.79737,-157.22807, -29.34348, 118.67183,-157.62045, -34.42399,  93.14776,-152.62442, -41.02007,  70.39242,-141.91524, -43.42204,  69.87349,-140.09790, -46.17530,  68.64429,-137.98467, -48.27298,  67.37429,-137.25300, -42.67442,  69.12536,-138.71800, -44.10396,  65.63507,-134.97665, -45.97214,  62.93060,-133.46002, -47.24662,  61.33856,-133.23245, -41.70036,  68.46063,-139.07189, -42.56824,  64.69643,-135.61450, -44.03409,  61.18598,-134.55498, -45.43239,  59.25868,-135.23385, -40.97187,  68.08209,-139.40605, -41.10477,  64.39254,-136.56303, -41.93999,  61.13054,-135.84950, -43.09022,  59.13462,-136.47865, -40.12282,  67.71734,-139.99262, -39.70774,  64.12036,-137.70612, -39.94677,  61.41252,-137.24619, -40.69948,  59.96458,-137.85567
   0.06667, -35.08225,  78.06071,-175.69206, -40.91574,  76.70740,-182.74199, -30.49356,  42.70448,-160.64501, -19.57364,   7.78347,-181.00122, -29.24876,  79.41402,-168.64214,  -6.68841,  50.17226,-148.91788,  -9.92159,   8.42730,-148.96658, -38.83396,  84.66948,-173.85632, -45.06306,  99.99904,-168.77313, -47.07723, 111.14550,-164.01699, -46.10140, 126.50994,-153.89098, -46.61100, 130.77259,-151.89340, -47.70636, 135.25045,-150.81210, -49.17794, 122.08791,-157.04643, -58.82990, 124.75682,-165.65850, -63.19646, 107.76675,-185.52104, -70.33186,  91.01388,-204.07980, -70.58967,  87.97634,-203.85984, -70.63485,  84.30690,-204.16040, -69.81863,  81.90161,-204.47159, -71.68020,  87.61225,-205.16404, -72.59555,  83.49124,-208.38938, -71.88327,  80.45141,-210.22146, -70.85784,  78.88729,-211.06569, -71.50495,  88.39836,-206.09529, -72.30234,  84.80385,-209.74490, -71.03766,  82.11537,-212.34629, -69.08780,  80.85840,-213.21153, -71.36934,  89.05629,-206.67355, -72.00456,  86.40041,-210.44925, -70.82622,  84.46798,-213.04243, -68.98774,  83.36190,-214.09083, -71.08586,  89.95153,-207.23583, -71.53697,  88.05929,-211.05087, -70.63752,  86.88758,-213.37878, -69.21403,  86.23365,-214.14076, -43.61628, 121.62009,-156.87258, -30.88032, 118.12742,-156.65403, -38.17321,  93.12400,-151.76601, -46.82693,  71.13256,-140.92674, -49.33641,  70.80065,-139.21388, -52.26546,  69.78775,-137.22597, -54.48757,  68.68836,-136.59191, -48.70971,  69.98692,-137.81108, -50.57107,  66.60427,-134.16191, -52.71328,  64.05233,-132.74665, -54.12072,  62.56782,-132.58532, -47.77876,  69.24720,-138.13054, -49.09115,  65.54747,-134.74446, -50.87892,  62.16200,-133.77643, -52.39914,  60.35824,-134.52874, -47.07003,  68.81256,-138.43786, -47.61894,  65.13084,-135.63486, -48.74422,  61.94365,-134.98453, -50.02502,  60.05110,-135.67759, -46.22966,  68.38322,-138.99231, -46.20224,  64.75224,-136.72209, -46.67844,  62.07033,-136.29590, -47.51985,  60.69156,-136.94826
   0.08334, -36.51078,  77.99419,-175.01289, -42.08298,  76.75545,-182.29154, -31.39802,  42.36847,-160.92651, -19.90021,   7.72808,-181.44334, -30.93858,  79.23292,-167.73425,  -9.24257,  49.68441,-147.50393, -14.08031,   8.09636,-147.14769, -40.32524,  84.57685,-173.21300, -46.59946,  99.92347,-168.23794, -48.60255, 111.10383,-163.55729, -47.65441, 126.47642,-153.44103, -48.16764, 130.73647,-151.43882, -49.28531, 135.20079,-150.32487, -50.71131, 122.11475,-156.69795, -59.89434, 125.19666,-165.67710, -64.77010, 108.68738,-185.82457, -72.52837,  92.12302,-204.30243, -72.94165,  89.10232,-204.08771, -73.17325,  85.44039,-204.39381, -72.48000,  82.99696,-204.70611, -74.04537,  88.79613,-205.39570, -75.16012,  84.73151,-208.62982, -74.59843,  81.66169,-210.46425, -73.65165,  80.04836,-211.30772, -73.82735,  89.57349,-206.32526, -74.79612,  86.02923,-209.98252, -73.66246,  83.28309,-212.58409, -71.77670,  81.92932,-213.44536, -73.65655,  90.22441,-206.90214, -74.41504,  87.60942,-210.68363, -73.32901,  85.62275,-213.27613, -71.54623,  84.42559,-214.32067, -73.32600,  91.10474,-207.46225, -73.86151,  89.24304,-211.28141, -73.01596,  88.02999,-213.60834, -71.62540,  87.30522,-214.36703, -45.17214, 121.52127,-156.31525, -32.55978, 117.68183,-155.51632, -41.79032,  93.27560,-150.89216, -52.70994,  72.29726,-140.09071, -55.30136,  72.14905,-138.47699, -58.37538,  71.35274,-136.61329, -60.70047,  70.42800,-136.07728, -54.79534,  71.27297,-137.06306, -57.05770,  68.01159,-133.53199, -59.44854,  65.62437,-132.23220, -60.97475,  64.25560,-132.14351, -53.91468,  70.46456,-137.35774, -55.64541,  66.84600,-134.07346, -57.73245,  63.60435,-133.21872, -59.36155,  61.93609,-134.05150, -53.23158,  69.97789,-137.64439, -54.17813,  66.32239,-134.91411, -55.57737,  63.22873,-134.34950, -56.97730,  61.45218,-135.11538, -52.40748,  69.48860,-138.17302, -52.75561,  65.84320,-135.95299, -53.45955,  63.20362,-135.58133, -54.38249,  61.90358,-136.28323
   0.10000, -38.06889,  78.10581,-174.23045, -43.37611,  76.99887,-181.72515, -32.31248,  42.07581,-161.45022, -20.08597,   7.68550,-181.96645, -32.76166,  79.21275,-166.73575, -11.90120,  49.29939,-146.16565, -18.12827,   7.90167,-145.42462, -41.94886,  84.65546,-172.45028, -48.25815, 100.01023,-167.54519, -50.23000, 111.21838,-162.91804, -49.27192, 126.57815,-152.78326, -49.78244, 130.83313,-150.76962, -50.91672, 135.28418,-149.61994, -52.31759, 122.27882,-156.13228, -61.08536, 125.72251,-165.39071, -66.45929, 109.77633,-185.86240, -74.94772,  93.51537,-204.28868, -75.56337,  90.52820,-204.09050, -76.03891,  86.89155,-204.41577, -75.50996,  84.40866,-204.73816, -76.68053,  90.30301,-205.40352, -78.05395,  86.33792,-208.66160, -77.69292,  83.24620,-210.50967, -76.85348,  81.57708,-211.35824, -76.40762,  91.06847,-206.32845, -77.59900,  87.61479,-210.00658, -76.64289,  84.81135,-212.61832, -74.84914,  83.33832,-213.48040, -76.19153,  91.70923,-206.90150, -77.11036,  89.16922,-210.69851, -76.15089,  87.12668,-213.29751, -74.44873,  85.81770,-214.34238, -75.80073,  92.56810,-207.45612, -76.44644,  90.76490,-211.28629, -75.67596,  89.50908,-213.61660, -74.33448,  88.69633,-214.37450, -46.80691, 121.56843,-155.57660, -34.37157, 117.34725,-154.16404, -45.48547,  93.66244,-149.94967, -58.60058,  73.86387,-139.36617, -61.26573,  73.92506,-137.87127, -64.47978,  73.38037,-136.15946, -66.89952,  72.65928,-135.74308, -60.90407,  72.98798,-136.45216, -63.60440,  69.89298,-133.08281, -66.25367,  67.71072,-131.93237, -67.89739,  66.48236,-131.93543, -60.08585,  72.10843,-136.72199, -62.27753,  68.61371,-133.58203, -64.67980,  65.55955,-132.87790, -66.41043,  64.05476,-133.81123, -59.43612,  71.56680,-136.98681, -60.82555,  67.97300,-134.36627, -62.51714,  65.00891,-133.91896, -64.03236,  63.37492,-134.77729, -58.63531,  71.01331,-137.48716, -59.40516,  67.38325,-135.34971, -60.35596,  64.81207,-135.05639, -61.35733,  63.60926,-135.82129
   0.11667, -39.89596,  78.42263,-173.32837, -44.99870,  77.43867,-180.98058, -33.32754,  41.78307,-162.39137, -20.34895,   7.58137,-182.76039, -34.79321,  79.40659,-165.67616, -14.89274,  49.01045,-144.86408, -22.39333,   7.83330,-143.73258, -43.82969,  84.93874,-171.54310, -50.13864, 100.30088,-166.66068, -52.04339, 111.53454,-162.06743, -50.99495, 126.87968,-151.91944, -51.49211, 131.13063,-149.89397, -52.64120, 135.56886,-148.70996, -54.05098, 122.64773,-155.34399, -62.43781, 126.44939,-164.81287, -68.32703, 111.18254,-185.65731, -77.49040,  95.27507,-204.06885, -78.30278,  92.33374,-203.89518, -79.01685,  88.73908,-204.24964, -78.65235,  86.22915,-204.59001, -79.42871,  92.19288,-205.21245, -81.05222,  88.35207,-208.50422, -80.89127,  85.25731,-210.37530, -80.16168,  83.54278,-211.23483, -79.10320,  92.94558,-206.13081, -80.51008,  89.60619,-209.83825, -79.73416,  86.76548,-212.46939, -78.03934,  85.18358,-213.33872, -78.84361,  93.57496,-206.69839, -79.91779,  91.13008,-210.51702, -79.08823,  89.04827,-213.12953, -77.47345,  87.63749,-214.18060, -78.39533,  94.41027,-207.24546, -79.14817,  92.68275,-211.09092, -78.45592,  91.39638,-213.42910, -77.16900,  90.50243,-214.19020, -48.57435, 121.81145,-154.64525, -36.32416, 117.26061,-152.72853, -49.49823,  94.55446,-149.10574, -64.48866,  75.93437,-138.87934, -67.20076,  76.18614,-137.49277, -70.51605,  75.87444,-135.92152, -73.00002,  75.34103,-135.61516, -66.97292,  75.20520,-136.07551, -70.04505,  72.28940,-132.86871, -72.90252,  70.30810,-131.86190, -74.63575,  69.21329,-131.95136, -66.21551,  74.26744,-136.32618, -68.80270,  70.91607,-133.33442, -71.46378,  68.05195,-132.77758, -73.26648,  66.70048,-133.80441, -65.59968,  73.67974,-136.57320, -67.37391,  70.17308,-134.06949, -69.30937,  67.34604,-133.73899, -70.91074,  65.84783,-134.68426, -64.82450,  73.07136,-137.04959, -65.96431,  69.48596,-135.00401, -67.12475,  66.99416,-134.79102, -68.18443,  65.88403,-135.61518
   0.13334, -41.97284,  78.87232,-172.48485, -46.92718,  78.03644,-180.25133, -34.70063,  41.80045,-163.20547, -20.84369,   7.67096,-183.11176, -37.01850,  79.70821,-164.71836, -18.24559,  48.72035,-143.73201, -27.18124,   7.84232,-142.23600, -45.93859,  85.35598,-170.65287, -52.18891, 100.72850,-165.72791, -53.98192, 111.99004,-161.15801, -52.76893, 127.33938,-151.03472, -53.24243, 131.59130,-149.00565, -54.40000, 136.02156,-147.80020, -55.86064, 123.16004,-154.49171, -63.80392, 127.38874,-164.15988, -70.11695, 112.76426,-185.33818, -79.94420,  97.30259,-203.78708, -80.95846,  94.42266,-203.65007, -81.91770,  90.89020,-204.04843, -81.72610,  88.36510,-204.41676, -82.08629,  94.37492,-204.97237, -83.95834,  90.69313,-208.31351, -84.00421,  87.61610,-210.21987, -83.39144,  85.86513,-211.09696, -81.70599,  95.11371,-205.88092, -83.32568,  91.92186,-209.63121, -82.73755,  89.06440,-212.29271, -81.15265,  87.37914,-213.17508, -81.40134,  95.73005,-206.44036, -82.62691,  93.40879,-210.29041, -81.93293,  91.30444,-212.92431, -80.41536,  89.79748,-213.98666, -80.89431,  96.53854,-206.97630, -81.74966,  94.91098,-210.84387, -81.13879,  93.60649,-213.19466, -79.91373,  92.63446,-213.96207, -50.41237, 122.21599,-153.71313, -38.35334, 117.36635,-151.36533, -53.27992,  95.67102,-148.40562, -70.06946,  78.37059,-138.66875, -72.81487,  78.82051,-137.40312, -76.21427,  78.75469,-135.99003, -78.74436,  78.41801,-135.80619, -72.73217,  77.80584,-135.99373, -76.17273,  75.10347,-132.97991, -79.22247,  73.34435,-132.13791, -81.03109,  72.39318,-132.32471, -72.04073,  76.81381,-136.22543, -75.02296,  73.64129,-133.41165, -77.92622,  70.99247,-133.02506, -79.78056,  69.80343,-134.15563, -71.46265,  76.18197,-136.45402, -73.62489,  72.79599,-134.09331, -75.79208,  70.12898,-133.89911, -77.46141,  68.77648,-134.94152, -70.71681,  75.51979,-136.90481, -72.23216,  72.01054,-134.97411, -73.59550,  69.61712,-134.85632, -74.70031,  68.60643,-135.74653
   0.15000, -44.40589,  79.40193,-171.53355, -49.22767,  78.76572,-179.40173, -35.93721,  41.74353,-165.05538, -21.05071,   7.54568,-184.08157, -39.58412,  80.03814,-163.66538, -21.88356,  48.47522,-142.60429, -32.07767,   7.90372,-140.83510, -48.37908,  85.85762,-169.62070, -54.47043, 101.27042,-164.62299, -56.05758, 112.58513,-160.10862, -54.53122, 127.98410,-150.10381, -54.95783, 132.24640,-148.08614, -56.11387, 136.67414,-146.87003, -57.70643, 123.84519,-153.53365, -65.34510, 128.40728,-163.29527, -72.03212, 114.44195,-184.80115, -82.57554,  99.56327,-203.33386, -83.76680,  96.75044,-203.23203, -84.94143,  93.28875,-203.67256, -84.90515,  90.76076,-204.06811, -84.89012,  96.78700,-204.55852, -86.97327,  93.26469,-207.94632, -87.20205,  90.21722,-209.88667, -86.69542,  88.44121,-210.78100, -84.46115,  97.51058,-205.45759, -86.26045,  94.46602,-209.24825, -85.83982,  91.60654,-211.93918, -84.35885,  89.83592,-212.83482, -84.11667,  98.11287,-206.00917, -85.46828,  95.91382,-209.88867, -84.89546,  93.79910,-212.54333, -83.46991,  92.21254,-213.61720, -83.55839,  98.89412,-206.53447, -84.49744,  97.36463,-210.42259, -83.95916,  96.05028,-212.78559, -82.79361,  95.01253,-213.55962, -52.28109, 122.79020,-152.73756, -40.44169, 117.63619,-149.95977, -56.99348,  97.05361,-147.80437, -75.68012,  81.41124,-138.74204, -78.43744,  82.09344,-137.61361, -81.90035,  82.32046,-136.38323, -84.45689,  82.21691,-136.34002, -78.52493,  81.05303,-136.22341, -82.35765,  78.63336,-133.45234, -85.59715,  77.15132,-132.80924, -87.47255,  76.37506,-133.11096, -77.91583,  80.00500,-136.43912, -81.32508,  77.07798,-133.85350, -84.47577,  74.70390,-133.67602, -86.36712,  73.71018,-134.92738, -77.38656,  79.32603,-136.65015, -79.97545,  76.11772,-134.47815, -82.38547,  73.66037,-134.45436, -84.11265,  72.48535,-135.61138, -76.68120,  78.60485,-137.07482, -78.61480,  75.22074,-135.30065, -80.19631,  72.96246,-135.30506, -81.33911,  72.07295,-136.27322
