time,Hips.x,Hips.y,Hips.z,RightUpLeg.x,RightUpLeg.y,RightUpLeg.z,RightLeg.x,RightLeg.y,RightLeg.z,RightFoot.x,RightFoot.y,RightFoot.z,LeftUpLeg.x,LeftUpLeg.y,LeftUpLeg.z,LeftLeg.x,LeftLeg.y,LeftLeg.z,LeftFoot.x,LeftFoot.y,LeftFoot.z,Spine.x,Spine.y,Spine.z,Spine1.x,Spine1.y,Spine1.z,Spine2.x,Spine2.y,Spine2.z,Neck.x,Neck.y,Neck.z,Neck1.x,Neck1.y,Neck1.z,Head.x,Head.y,Head.z,RightShoulder.x,RightShoulder.y,RightShoulder.z,RightArm.x,RightArm.y,RightArm.z,RightForeArm.x,RightForeArm.y,RightForeArm.z,RightHand.x,RightHand.y,RightHand.z,RightHandThumb1.x,RightHandThumb1.y,RightHandThumb1.z,RightHandThumb2.x,RightHandThumb2.y,RightHandThumb2.z,RightHandThumb3.x,RightHandThumb3.y,RightHandThumb3.z,RightInHandIndex.x,RightInHandIndex.y,RightInHandIndex.z,RightHandIndex1.x,RightHandIndex1.y,RightHandIndex1.z,RightHandIndex2.x,RightHandIndex2.y,RightHandIndex2.z,RightHandIndex3.x,RightHandIndex3.y,RightHandIndex3.z,RightInHandMiddle.x,RightInHandMiddle.y,RightInHandMiddle.z,RightHandMiddle1.x,RightHandMiddle1.y,RightHandMiddle1.z,RightHandMiddle2.x,RightHandMiddle2.y,RightHandMiddle2.z,RightHandMiddle3.x,RightHandMiddle3.y,RightHandMiddle3.z,RightInHandRing.x,RightInHandRing.y,RightInHandRing.z,RightHandRing1.x,RightHandRing1.y,RightHandRing1.z,RightHandRing2.x,RightHandRing2.y,RightHandRing2.z,RightHandRing3.x,RightHandRing3.y,RightHandRing3.z,RightInHandPinky.x,RightInHandPinky.y,RightInHandPinky.z,RightHandPinky1.x,RightHandPinky1.y,RightHandPinky1.z,RightHandPinky2.x,RightHandPinky2.y,RightHandPinky2.z,RightHandPinky3.x,RightHandPinky3.y,RightHandPinky3.z,LeftShoulder.x,LeftShoulder.y,LeftShoulder.z,LeftArm.x,LeftArm.y,LeftArm.z,LeftForeArm.x,LeftForeArm.y,LeftForeArm.z,LeftHand.x,LeftHand.y,LeftHand.z,LeftHandThumb1.x,LeftHandThumb1.y,LeftHandThumb1.z,LeftHandThumb2.x,LeftHandThumb2.y,LeftHandThumb2.z,LeftHandThumb3.x,LeftHandThumb3.y,LeftHandThumb3.z,LeftInHandIndex.x,LeftInHandIndex.y,LeftInHandIndex.z,LeftHandIndex1.x,LeftHandIndex1.y,LeftHandIndex1.z,LeftHandIndex2.x,LeftHandIndex2.y,LeftHandIndex2.z,LeftHandIndex3.x,LeftHandIndex3.y,LeftHandIndex3.z,LeftInHandMiddle.x,LeftInHandMiddle.y,LeftInHandMiddle.z,LeftHandMiddle1.x,LeftHandMiddle1.y,LeftHandMiddle1.z,LeftHandMiddle2.x,LeftHandMiddle2.y,LeftHandMiddle2.z,LeftHandMiddle3.x,LeftHandMiddle3.y,LeftHandMiddle3.z,LeftInHandRing.x,LeftInHandRing.y,LeftInHandRing.z,LeftHandRing1.x,LeftHandRing1.y,LeftHandRing1.z,LeftHandRing2.x,LeftHandRing2.y,LeftHandRing2.z,LeftHandRing3.x,LeftHandRing3.y,LeftHandRing3.z,LeftInHandPinky.x,LeftInHandPinky.y,LeftInHandPinky.z,LeftHandPinky1.x,LeftHandPinky1.y,LeftHandPinky1.z,LeftHandPinky2.x,LeftHandPinky2.y,LeftHandPinky2.z,LeftHandPinky3.x,LeftHandPinky3.y,LeftHandPinky3.z
   0.00000,   0.00000,  91.42999,   0.00000,  -9.25000,  91.42999,   0.00000,  -9.25000,  49.55999,   0.00000,  -9.25000,   7.68999,   0.00000,   9.25000,  91.42999,   0.00000,   9.25000,  49.55999,   0.00000,   9.25000,   7.68999,   0.00000,   0.00000,  99.24799,   0.00000,   0.00000, 116.55799,   0.00000,   0.00000, 128.84299,   0.00000,   0.00000, 147.26999,   0.00000,   0.00000, 152.00499,   0.00000,   0.00000, 156.73999,   0.00000,  -2.79200, 141.68599,   0.00000, -16.00000, 141.68599,   0.00000, -42.50000, 141.68599,   0.00000, -68.50000, 141.68599,   0.00000, -70.34200, 141.22499,   2.39500, -72.18300, 138.62142,   4.23600, -73.46250, 136.81194,   5.51550, -71.72400, 142.19399,   1.97800, -76.94100, 142.10299,   2.97700, -80.56100, 142.10299,   2.97700, -82.61300, 142.10299,   2.97700, -71.88200, 142.20399,   0.75700, -77.05600, 142.11999,   1.07100, -81.00500, 142.11999,   1.07100, -83.48100, 142.11999,   1.07100, -71.86600, 142.22399,  -0.12900, -76.50100, 142.20199,  -0.60800, -79.94300, 142.20199,  -0.60800, -82.33100, 142.20199,  -0.60800, -71.66100, 142.15599,  -1.20200, -75.80200, 142.13399,  -2.29300, -78.55900, 142.13399,  -2.29300, -80.30100, 142.13399,  -2.29300,   2.79200, 141.68599,   0.00000,  16.00000, 141.68599,   0.00000,  42.50000, 141.68599,   0.00000,  68.50000, 141.68599,   0.00000,  70.34200, 141.22499,   2.39500,  72.18300, 138.62142,   4.23600,  73.46250, 136.81194,   5.51550,  71.72400, 142.19399,   1.97800,  76.94100, 142.10299,   2.97700,  80.56100, 142.10299,   2.97700,  82.61300, 142.10299,   2.97700,  71.88200, 142.20399,   0.75700,  77.05600, 142.11999,   1.07100,  81.00500, 142.11999,   1.07100,  83.48100, 142.11999,   1.07100,  71.86600, 142.22399,  -0.12900,  76.50100, 142.20199,  -0.60800,  79.94300, 142.20199,  -0.60800,  82.33100, 142.20199,  -0.60800,  71.66100, 142.15599,  -1.20200,  75.80200, 142.13399,  -2.29300,  78.55900, 142.13399,  -2.29300,  80.30100, 142.13399,  -2.29300
   0.01667, -89.47304,  80.78613,-225.47963, -98.27549,  80.15867,-228.25194, -80.66648,  42.61660,-222.45432, -67.74452,   9.90323,-245.16897, -80.67059,  81.41360,-222.70732, -68.30150,  50.67037,-197.11520, -71.20573,   9.00420,-200.04643, -90.93665,  87.83336,-222.42749, -93.62983, 103.33636,-215.21362, -94.85829, 114.24107,-209.69101, -95.28833, 130.41499,-200.87205, -95.31765, 134.70794,-198.87458, -95.24855, 139.13647,-197.20020, -97.77257, 125.92814,-204.43198,-109.24125, 128.57958,-210.42286,-122.55492, 113.06390,-227.28287,-135.81126,  96.16664,-241.93729,-137.33762,  93.72422,-240.91439,-139.16628,  90.59254,-240.27746,-139.71713,  88.09496,-240.19303,-138.85656,  93.87434,-241.74689,-142.64167,  90.57880,-243.48923,-144.10971,  87.47525,-244.63692,-144.29370,  85.54637,-245.31241,-138.68434,  94.38267,-242.85497,-142.28266,  91.44275,-245.15388,-143.41351,  88.29466,-247.25275,-142.71150,  86.14985,-248.27136,-138.47763,  94.82942,-243.59209,-141.55782,  92.59720,-246.28333,-142.40886,  90.13948,-248.53782,-141.79341,  88.16664,-249.73434,-138.03590,  95.40372,-244.41247,-140.62959,  93.72529,-247.37799,-141.26392,  92.08112,-249.49822,-140.67670,  90.73026,-250.42823, -92.54346, 125.09935,-202.65700, -80.52046, 121.93445,-198.19805, -82.15048,  98.61505,-185.71612, -86.48873,  80.27356,-167.80609, -87.99929,  80.70687,-165.18465, -89.68206,  80.63042,-161.91057, -91.27371,  79.93360,-160.03185, -86.74622,  80.46775,-164.00337, -86.46063,  78.79767,-158.96822, -87.46110,  77.05370,-155.95790, -88.46105,  75.79260,-154.68495, -85.93843,  79.63020,-164.40571, -85.22345,  77.54782,-159.71227, -85.97546,  74.85100,-156.92726, -87.40995,  72.95075,-156.24765, -85.36734,  79.08687,-164.81105, -84.20703,  76.77240,-160.93676, -84.51990,  74.11467,-158.77206, -85.70219,  72.14662,-158.11515, -84.78012,  78.44970,-165.47976, -83.32686,  75.95904,-162.31379, -83.21588,  73.66016,-160.79595, -84.05532,  72.16701,-160.47906
   0.03333, -90.68871,  80.86352,-224.68707, -99.44769,  80.33143,-227.61276, -81.87715,  42.52006,-223.78231, -68.84825,   9.81967,-246.45454, -81.92973,  81.39560,-221.76138, -70.17474,  50.30958,-196.29422, -74.11492,   8.78603,-199.95021, -92.16110,  87.87323,-221.55384, -94.83781, 103.33807,-214.25248, -96.02488, 114.24440,-208.72400, -96.35489, 130.44196,-199.94422, -96.36242, 134.73610,-197.94910, -96.27539, 139.16138,-196.26696, -98.84697, 125.98664,-203.53810,-110.07906, 128.88270,-209.85510,-123.67022, 114.29647,-227.31282,-137.45341,  98.09639,-242.26545,-139.14413,  95.74243,-241.29497,-141.16234,  92.71682,-240.72084,-141.85272,  90.25352,-240.65741,-140.62519,  95.97593,-242.17515,-144.52918,  92.89390,-244.04153,-146.12914,  89.87576,-245.23960,-146.39781,  87.95974,-245.92325,-140.38997,  96.47353,-243.27650,-144.07019,  93.73606,-245.69272,-145.30584,  90.65445,-247.83083,-144.69131,  88.47375,-248.82955,-140.13554,  96.90790,-244.00605,-143.24711,  94.84826,-246.79696,-144.16042,  92.44046,-249.08076,-143.61711,  90.43617,-250.25982,-139.63688,  97.45661,-244.81118,-142.22362,  95.92291,-247.85999,-142.87999,  94.31549,-250.00158,-142.33898,  92.93390,-250.91432, -93.66280, 125.08048,-201.67148, -81.83289, 121.71973,-196.85381, -84.68287,  98.59311,-184.23292, -90.42787,  80.72186,-166.24365, -92.05441,  81.24471,-163.70939, -93.90439,  81.27342,-160.52601, -95.61398,  80.65924,-158.72363, -90.87282,  80.97882,-162.46202, -90.90517,  79.37137,-157.39858, -92.11994,  77.70622,-154.42268, -93.22801,  76.49892,-153.18764, -90.07576,  80.10799,-162.81168, -89.67671,  78.06871,-158.06214, -90.66584,  75.43952,-155.28661, -92.19992,  73.60028,-154.65863, -89.50432,  79.53938,-163.18018, -88.62708,  77.24103,-159.22276, -89.14476,  74.62680,-157.04443, -90.42837,  72.71068,-156.42524, -88.90664,  78.87270,-163.80971, -87.70699,  76.37804,-160.54227, -87.75573,  74.09844,-158.99240, -88.66286,  72.64012,-158.70091
   0.05000, -92.03149,  81.04887,-223.82614,-100.75330,  80.62190,-226.87740, -83.37226,  42.56379,-225.27234, -70.27349,   9.87343,-247.91875, -83.30968,  81.47583,-220.77488, -72.16100,  50.00959,-195.50277, -77.17782,   8.67524,-199.90732, -93.49933,  88.01998,-220.60588, -96.13159, 103.43964,-213.19363, -97.25964, 114.33810,-207.63733, -97.46812, 130.53935,-198.86064, -97.44956, 134.83158,-196.86149, -97.34161, 139.25239,-195.16885, -99.97655, 126.12194,-202.48978,-110.96961, 129.27135,-209.09925,-124.83297, 115.64652,-227.11094,-139.16682, 100.18769,-242.32821,-141.01482,  97.93500,-241.40526,-143.21736,  95.03015,-240.88779,-144.04884,  92.61039,-240.84472,-142.45588,  98.25203,-242.32482,-146.47798,  95.39659,-244.29778,-148.21499,  92.47382,-245.54062,-148.57422,  90.57572,-246.23261,-142.16306,  98.73446,-243.41909,-145.92734,  96.20977,-245.93543,-147.27909,  93.20203,-248.10820,-146.76353,  90.98894,-249.09156,-141.86467,  99.15297,-244.14122,-145.01262,  97.27219,-247.01632,-146.00025,  94.91862,-249.32558,-145.54084,  92.88558,-250.49101,-141.31398,  99.67161,-244.93225,-143.90115,  98.28571,-248.05066,-144.59044,  96.71665,-250.21028,-144.10490,  95.30564,-251.10910, -94.83334, 125.13771,-200.55077, -83.20678, 121.56935,-195.39894, -87.25536,  98.65935,-182.71073, -94.36113,  81.28056,-164.72502, -96.09123,  81.88971,-162.28019, -98.09329,  82.02069,-159.19285, -99.90952,  81.48726,-157.47085, -94.98221,  81.59947,-160.97305, -95.31867,  80.05715,-155.90044, -96.73484,  78.47126,-152.97062, -97.94320,  77.31766,-151.77907, -94.19942,  80.69785,-161.27341, -94.10471,  78.70546,-156.48830, -95.31903,  76.14602,-153.73705, -96.94457,  74.36777,-153.16608, -93.63050,  80.10566,-161.60703, -93.02848,  77.82831,-157.58654, -93.74233,  75.26042,-155.40853, -95.12008,  73.39675,-154.83312, -93.02594,  79.41134,-162.19897, -92.07495,  76.91829,-158.84950, -92.27830,  74.66110,-157.27953, -93.24837,  73.23810,-157.01766
   0.06667, -93.58608,  81.30564,-222.87013,-102.27772,  80.99398,-226.01987, -85.22077,  42.76452,-226.83587, -72.13936,  10.16410,-249.62153, -84.89445,  81.61730,-219.72039, -74.33840,  49.75035,-194.69712, -80.46751,   8.65336,-199.85149, -95.03560,  88.23649,-219.55602, -97.59490, 103.60380,-212.01069, -98.64636, 114.48600,-206.40772, -98.71260, 130.67433,-197.60500, -98.66353, 134.96211,-195.59682, -98.53123, 139.37744,-193.89167,-101.24603, 126.30003,-201.26881,-111.98797, 129.71662,-208.15277,-126.12681, 117.08806,-226.66932,-141.04655, 102.43123,-242.11531,-143.04381, 100.29184,-241.23469,-145.42443,  97.52206,-240.76769,-146.39772,  95.15550,-240.74455,-144.44318, 100.69264,-242.18542,-148.58221,  98.07787,-244.24812,-150.46065,  95.26173,-245.53079,-150.91578,  93.38766,-246.23182,-144.09851, 101.15634,-243.27266,-147.94884,  98.85622,-245.87273,-149.42739,  95.93202,-248.07672,-149.02161,  93.69182,-249.05008,-143.76023, 101.55611,-243.98778,-146.94965,  99.86229,-246.93256,-148.02327,  97.56959,-249.26456,-147.65893,  95.51232,-250.42105,-143.16273, 102.04095,-244.76618,-145.75799, 100.80797,-247.94156,-146.49094,  99.28094,-250.11687,-146.06975,  97.84324,-251.00580, -96.13902, 125.23742,-199.27623, -84.71842, 121.45635,-193.82419, -89.92710,  98.79165,-181.11864, -98.31976,  81.93228,-163.19310,-100.14077,  82.62618,-160.83855,-102.27918,  82.85857,-157.85018,-104.19050,  82.40501,-156.21017, -99.10421,  82.31495,-159.47787, -99.72804,  80.84352,-154.41140,-101.33133,  79.33905,-151.53556,-102.63168,  78.23961,-150.39056, -98.33871,  81.38472,-159.73201, -98.53366,  79.44602,-154.92791, -99.95950,  76.95991,-152.21115,-101.66820,  75.24265,-151.69933, -97.77487,  80.77037,-160.03255, -97.43717,  78.52137,-155.96547, -98.33691,  76.00373,-153.79768, -99.80127,  74.19304,-153.26892, -97.16681,  80.04977,-160.58840, -96.45659,  77.56597,-157.17300, -96.80798,  75.33505,-155.59167, -97.83604,  73.94775,-155.36136
   0.08334, -95.27288,  81.58992,-221.73340,-103.93902,  81.40232,-224.96223, -87.29942,  43.12490,-228.28782, -74.32302,  10.72201,-251.41276, -86.60674,  81.77752,-218.50456, -76.63182,  49.50732,-193.76124, -83.88787,   8.69277,-199.64506, -96.69370,  88.47848,-218.32017, -99.15562, 103.79016,-210.63073,-100.11270, 114.65372,-204.97491,-100.01103, 130.82459,-196.14049, -99.92642, 135.10730,-194.12271, -99.76641, 139.51706,-192.40555,-102.57885, 126.49539,-199.83382,-113.06106, 130.18571,-206.97217,-127.47669, 118.57915,-225.93865,-143.01341, 104.79163,-241.57562,-145.15179, 102.77655,-240.73405,-147.70346, 100.15556,-240.31383,-148.81826,  97.85215,-240.31162,-146.50710, 103.26159,-241.70907,-150.75890, 100.90264,-243.84937,-152.78078,  98.20573,-245.16963,-153.33568,  96.36289,-245.88147,-146.11558, 103.70404,-242.78928,-150.05059, 101.64194,-245.46123,-151.66337,  98.81336,-247.69566,-151.37632,  96.55312,-248.66493,-145.74097, 104.08292,-243.49764,-148.97356, 102.58618,-246.50152,-150.14176, 100.36352,-248.85576,-149.88172,  98.28846,-250.00860,-145.10139, 104.53106,-244.26450,-147.70901, 103.45851,-247.48763,-148.49375, 101.97945,-249.67798,-148.14433, 100.51928,-250.56136, -97.50483, 125.35315,-197.80140, -86.27772, 121.37188,-192.09592, -92.59716,  98.98188,-179.40724,-102.19136,  82.67192,-161.57646,-104.08946,  83.45287,-159.31177,-106.34727,  83.79053,-156.42293,-108.34211,  83.41897,-154.86376,-103.12396,  83.12474,-157.90360,-104.01603,  81.73574,-152.85402,-105.79171,  80.31890,-150.03552,-107.17615,  79.27608,-148.93710,-102.37911,  82.16721,-158.11390,-102.84685,  80.29416,-153.30258,-104.47068,  77.88859,-150.62471,-106.25558,  76.23387,-150.17017,-101.82321,  81.53134,-158.38278,-101.73717,  79.32200,-154.28100,-102.81281,  76.86125,-152.12808,-104.35754,  75.10545,-151.64488,-101.21552,  80.78475,-158.90364,-100.73684,  78.32080,-155.43399,-101.22995,  76.12175,-153.84589,-102.31211,  74.77134,-153.64619
   0.10000, -97.08575,  81.84519,-220.46669,-105.73121,  81.78596,-223.75530, -89.61453,  43.58854,-229.61249, -76.81255,  11.47931,-253.23881, -88.44028,  81.90442,-217.17808, -79.03667,  49.23855,-192.73203, -87.40806,   8.74392,-199.30485, -98.46988,  88.68965,-216.95120,-100.81523, 103.94363,-209.11210,-101.66364, 114.78762,-203.40165,-101.37321, 130.93979,-194.53726,-101.24940, 135.21741,-192.51071,-101.05994, 139.62178,-190.78274,-103.98227, 126.65691,-198.25558,-114.21343, 130.60814,-205.61509,-128.92390, 120.03893,-224.95789,-145.08796, 107.17413,-240.74460,-147.35964, 105.29513,-239.93815,-150.07587, 102.83820,-239.56042,-151.33257, 100.60912,-239.58021,-148.66840, 105.86616,-240.93003,-153.02970, 103.78264,-243.13489,-155.19807, 101.22045,-244.49051,-155.85739,  99.41748,-245.21530,-148.23515, 106.28552,-242.00351,-152.25443, 104.47955,-244.73478,-154.01022, 101.76226,-246.99932,-153.85190,  99.49054,-247.97132,-147.82787, 106.64169,-242.70558,-151.10622, 105.35670,-245.75753,-152.37877, 103.21655,-248.13402,-152.23330, 101.13172,-249.28939,-147.15101, 107.05053,-243.46235,-149.77612, 106.15021,-246.72377,-150.62172, 104.72784,-248.92897,-150.35227, 103.25053,-249.81187, -98.94016, 125.43338,-196.19135, -87.88953, 121.26964,-190.27543, -95.25531,  99.17823,-177.62771,-105.96404,  83.44819,-159.91079,-107.92410,  84.31891,-157.73329,-110.28251,  84.76627,-154.94136,-112.34859,  84.47902,-153.45902,-107.02633,  83.97861,-156.28382,-108.16240,  82.68504,-151.25795,-110.09338,  81.36262,-148.49626,-111.55335,  80.37899,-147.44191,-106.30515,  82.99512,-156.45281,-107.02370,  81.20112,-151.64228,-108.82951,  78.88388,-149.00334,-110.68373,  77.29306,-148.60111,-105.75993,  82.33836,-156.69168,-105.90820,  80.18131,-152.56394,-107.14752,  77.78455,-150.42689,-108.76630,  76.08542,-149.98522,-105.15659,  81.56600,-157.17894,-104.89594,  79.13368,-153.66404,-105.52262,  76.97247,-152.07109,-106.65505,  75.66002,-151.89894
   0.11667, -98.96187,  82.02137,-219.15389,-107.59256,  82.08782,-222.48092, -92.13266,  44.08993,-230.86238, -79.58846,  12.38484,-255.16314, -90.33117,  81.95492,-215.82685, -81.49624,  48.90821,-191.68238, -90.94766,   8.76034,-198.88770,-100.30418,  88.82064,-215.53598,-102.52080, 104.01432,-207.54380,-103.25111, 114.83606,-201.77512,-102.75636, 130.96439,-192.87643,-102.59099, 135.23619,-190.84060,-102.37144, 139.63496,-189.10196,-105.41188, 126.73006,-196.61742,-115.40998, 130.92758,-204.15865,-130.43186, 121.40451,-223.80309,-147.23172, 109.49534,-239.67559,-149.62792, 107.76433,-238.89883,-152.50106, 105.48711,-238.55754,-153.89925, 103.34426,-238.59917,-150.88742, 108.42290,-239.90018,-155.35327, 106.63517,-242.15487,-157.67000, 104.22428,-243.54223,-158.43776, 102.47073,-244.28135,-150.41770, 108.81755,-240.96766,-154.51925, 107.28670,-243.74430,-156.42565, 104.69791,-246.03742,-156.40554, 102.42458,-247.01830,-149.98152, 109.14937,-241.66430,-153.30693, 108.09164,-244.75234,-154.69269, 106.04790,-247.15029,-154.67153, 103.96263,-248.31379,-149.27241, 109.51647,-242.41288,-151.91907, 108.80111,-245.70258,-152.83394, 107.44529,-247.92200,-152.65232, 105.95714,-248.80912,-100.40070, 125.42387,-194.52865, -89.50919, 121.08878,-188.44314, -97.82481,  99.30543,-175.85003,-109.53963,  84.17595,-158.24714,-111.54780,  85.13683,-156.15298,-113.98869,  85.69546,-153.45351,-116.11382,  85.49227,-152.04249,-110.71283,  84.79025,-154.66789,-112.06548,  83.60386,-149.66928,-114.13289,  82.38032,-146.96129,-115.65890,  81.45662,-145.94700,-110.01677,  83.78302,-154.79790,-110.96016,  82.08074,-149.99288,-112.92885,  79.85737,-147.38990,-114.84429,  78.32945,-147.03336,-109.48394,  83.10667,-155.00837,-109.84469,  81.01447,-150.86040,-111.23218,  78.68725,-148.73760,-112.91718,  77.04450,-148.33176,-108.88782,  82.30947,-155.46343,-108.82687,  79.92097,-151.90957,-109.57588,  77.80280,-150.31163,-110.75361,  76.52790,-150.16280
   0.13334,-100.77190,  82.09777,-217.85046,-109.39319,  82.28507,-221.19724, -94.71603,  44.60608,-232.05874, -82.51177,  13.42539,-257.19670, -92.15062,  81.91047,-214.50369, -83.88821,  48.50626,-190.65021, -94.37353,   8.72513,-198.43585,-102.06809,  88.85241,-214.13348,-104.14679, 103.98466,-205.98916,-104.75223, 114.78125,-200.15922,-104.04128, 130.87878,-191.21951,-103.83240, 135.14363,-189.17312,-103.58206, 139.53624,-187.42313,-106.74800, 126.69496,-194.98058,-116.53451, 131.13059,-202.66177,-131.86680, 122.65189,-222.54349,-149.30088, 111.71769,-238.43360,-151.80915, 110.14265,-237.67904,-154.82666, 108.05616,-237.36553,-156.36155, 106.00949,-237.42674,-153.01755, 110.88763,-238.68281,-157.57839, 109.40796,-240.97033,-160.04010, 107.16128,-242.38341,-160.91674, 105.46574,-243.13664,-152.51731, 111.25664,-239.74559,-156.69506, 110.01239,-242.55170,-158.75406, 107.56639,-244.86950,-158.87715, 105.30206,-245.86359,-152.05665, 111.56310,-240.43807,-155.42735, 110.74197,-243.54891,-156.93066, 108.80641,-245.96573,-157.03946, 106.73067,-247.14132,-151.32106, 111.88723,-241.18092,-153.99102, 111.36449,-244.48799,-154.98050, 110.08362,-246.71989,-154.89167, 108.59171,-247.61480,-101.76545, 125.30641,-192.87650, -91.01625, 120.80646,-186.65907,-100.17752,  99.32921,-174.12716,-112.78212,  84.80688,-156.62785,-114.82696,  85.85564,-154.61285,-117.33387,  86.52393,-152.00020,-119.50636,  86.40114,-150.65347,-114.04808,  85.51113,-153.09712,-115.58653,  84.44370,-148.12548,-117.76937,  83.32080,-145.46490,-119.35073,  82.45524,-144.48468,-113.37620,  84.48355,-153.18956,-114.51389,  82.88630,-148.39056,-116.62224,  80.75969,-145.81627,-118.58892,  79.28990,-145.49619,-112.85585,  83.78975,-153.37269,-113.40178,  81.77632,-149.20601,-114.91744,  79.52240,-147.09178,-116.65855,  77.93245,-146.71343,-112.26801,  82.96944,-153.79639,-112.38237,  80.63878,-150.20563,-113.23814,  78.56802,-148.59919,-114.45440,  77.32787,-148.46752
   0.15000,-102.39332,  82.11623,-216.86490,-111.01010,  82.42186,-220.21456, -97.23448,  45.16892,-233.46400, -85.44424,  14.62346,-259.56117, -93.77654,  81.81059,-213.51524, -86.08687,  48.08311,-189.92663, -97.55790,   8.68603,-198.25623,-103.63619,  88.82909,-213.05520,-105.56428, 103.90175,-204.76463,-106.03829, 114.67130,-198.87283,-105.10405, 130.73195,-189.88745,-104.85005, 134.98878,-187.82950,-104.56760, 139.37462,-186.06745,-107.86619, 126.59894,-193.66437,-117.46285, 131.26208,-201.44965,-133.10659, 123.80711,-221.49827,-151.15334, 113.85915,-237.35239,-153.75576, 112.43978,-236.60787,-156.89872, 110.54535,-236.30784,-158.55957, 108.60000,-236.38319,-154.91498, 113.26687,-237.60532,-159.56043, 112.09463,-239.90075,-162.15911, 110.01812,-241.32881,-163.14101, 108.38684,-242.09399,-154.39267, 113.61150,-238.66566,-158.64104, 112.65390,-241.47818,-160.85054, 110.35981,-243.81267,-161.11630, 108.11518,-244.82340,-153.91373, 113.89344,-239.35615,-157.33005, 113.30951,-242.47078,-158.95282, 111.49055,-244.90088,-159.19244, 109.43458,-246.09173,-153.15931, 114.17607,-240.09706,-155.85751, 113.84722,-243.40617,-156.92616, 112.64787,-245.64684,-156.93171, 111.16001,-246.55282,-102.90812, 125.13113,-191.55627, -92.28424, 120.47281,-185.24086,-102.19550,  99.29173,-172.77577,-115.57769,  85.36806,-155.36747,-117.65073,  86.50025,-153.42784,-120.21035,  87.27372,-150.89659,-122.42030,  87.22535,-149.60730,-116.92082,  86.16635,-151.88560,-118.61587,  85.22668,-146.93916,-120.89446,  84.20325,-144.31905,-122.52110,  83.39219,-143.36670,-116.27073,  85.12223,-151.94131,-117.57295,  83.64065,-147.14704,-119.79809,  81.61066,-144.59312,-121.80620,  80.19212,-144.30017,-115.76192,  84.41351,-152.09777,-116.46552,  82.49075,-147.91195,-118.08900,  80.31150,-145.79948,-119.87602,  78.76880,-145.44002,-115.18217,  83.57234,-152.49057,-115.44644,  81.31197,-148.86296,-116.39264,  79.29138,-147.24340,-117.64043,  78.08184,-147.12253
